ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5
NASDAQ:NVDA,NVDA,115.85,300871701,115.44149630700036,82.3970037453184,66.54182272159811,-0.3184439280488894,114.58475717123022,137.43272508656696,42.32821276600581,69.78159285173959,165645995.64,-0.8637054376125717,-2.7608755988530618,12.11,10.490399999999994,1.3232478142722919,0,2.612931798051363,-7232129,0.9471918262570644,delayed_streaming_900,2
NASDAQ:AMD,AMD,143.08,82724976,142.93367901941923,54.37480904369085,49.076090905737374,-0.923924026453992,146.85757686174574,193.7826316056673,27.973452970262358,43.55900304320333,86753241.2426,-4.006383160029655,-6.8962947817555005,4.737400000000008,5.557400000000001,2.2752978792788685,0,-5.075300205665745,-1886821,1.5172948581311838,delayed_streaming_900,2
AMEX:SOXL,SOXL,43.2,65509567,42.82253031065194,78.93750000000027,65.41597222222246,0.25290023201856554,42.46340574925138,73.68233660207021,36.01854775640028,82.94276872543085,16096432.725000001,-2.3438328112326867,-4.279067728162545,6.084000000000003,4.969000000000001,0.9140710446936476,0,2.1276595744680984,-2057609,0.7283432285861579,delayed_streaming_900,2
NASDAQ:MHUA,MHUA,1.0113,59163069,1.0110411396746761,39.21175684702733,34.679858697175426,-5.651036801793387,1.1897972037903937,1.056760820909602,34.41870148411857,70.75803630647354,5682.8226,0.050048121076529645,0.04763532454300701,-0.01990000000000003,0.010099999999999998,1017.4684456273071,0,-19.738095238095234,-111229,2136.483327194332,delayed_streaming_900,2
NASDAQ:SOFI,SOFI,7.645,45637206,7.688940665293398,15.670940170940051,30.641737891737705,-1.9459639503452564,7.609296050824785,8.091294045947407,45.973952787360375,11.259212271139774,2375893.448,0.1698356787758139,0.19184811073055297,0.23399999999999999,0.3490000000000002,1.3905879976521158,0,2.2058823529411646,-1685163,0.9642374323800572,delayed_streaming_900,2
AMEX:SOXS,SOXS,24.6101,41807088,24.911936668911657,21.005420054200584,34.729900632339735,-0.3441295546558739,25.195642584803377,29.135068691356135,58.99903784888983,17.286731622434814,5403115.574999999,0.2341443393414228,0.989154820136946,-4.795000000000002,-4.085100000000001,0.7786442542314912,0,-2.880426203630626,-1301660,0.6475071570554568,delayed_streaming_900,2
NASDAQ:TLRY,TLRY,2.0001,22539987,2.0181937813940705,9.566666666666663,17.492592592592604,-0.24438902743140561,2.0107638902139082,2.0076552234304663,42.03550698559734,14.117557560057548,133014.6504,0.023926507696081224,0.03881907933066242,-0.019899999999999807,0.0051000000000001044,1.225593742809348,0,-0.49253731343281476,-884017,0.9254609278464752,delayed_streaming_900,2
NYSE:PFE,PFE,30.9348,21193004,30.927066965920048,58.333333333335,52.7913059163073,-0.22584287788353052,30.875211890495354,31.598999766557455,65.5419103976467,50.842324296082154,3202623.9250000003,0.5581290174518246,0.7260728722417191,-0.46000000000000085,-0.46000000000000085,0.9017898987835664,0,-0.8500000000000004,-319527,0.48853063500162586,delayed_streaming_900,2
NASDAQ:PYPL,PYPL,66.19,17087531,66.21110919483034,28.47222222222175,28.009259259258872,0.30316810671517785,66.0909981570451,64.10725962021317,59.45433067340661,56.47334515644423,4017313.04,-0.3345553898095383,0.3123392224707615,2.1799999999999997,2.105000000000004,2.0879558046567293,0,1.8307692307692272,-220974,1.2746322848245206,delayed_streaming_900,2
NASDAQ:IMNN,IMNN,1.4001,13849319,1.4100623374773456,76.74889919225497,80.39456060031688,-7.518151815181512,1.5456091222957058,2.3167123809091046,47.57265965892767,47.83734782849154,16503.5569,0.053905901050417857,0.12348945413183166,-1.9089,-1.6888,1.3384330961913102,0,-19.069364161849716,-39821,0.9245097592677832,delayed_streaming_900,2
NASDAQ:SBUX,SBUX,79.2803,11698034,79.23247161295207,57.091326446959236,52.05287524366548,0.13262599469496525,79.20470649613091,78.80793641766176,49.909658414332384,58.8360806860536,5777879.100000001,-0.8434989371620851,-0.38510363695897354,3.344999999999999,3.645300000000006,2.0707111002939422,0,-0.33903205531112546,-332015,0.7668598663246124,delayed_streaming_900,2
NYSE:BA,BA,194.99,10979015,195.15710420941602,23.155737704917613,17.334772246972022,0.9804469794404328,191.30617109226438,191.2622195497509,56.36506969765863,50.45017184342087,9091323.45,0.8035883994517354,1.7502850288506977,8.159999999999997,7.97999999999999,3.279833244863426,0,2.6911733726564218,-243168,2.041457654928602,delayed_streaming_900,2
NASDAQ:IBIT,IBIT,37.825,10035714,37.89248279152035,15.684930110102002,26.49588688415577,-0.4212743549236351,37.89961604615391,40.63268575375393,47.68337078409963,20.964570321914834,1356527.76,0.29216416284019187,0.5776389014836667,0.28000000000000114,0.2980000000000018,0.4501038503351308,0,-0.11882756799576077,-401831,0.3415551371654377,delayed_streaming_900,2
NASDAQ:META,META,473.16,9573778,472.7802149479724,55.94120654396735,56.675357873210764,-0.3093115873316868,472.5192800857311,543.9612315757649,37.93712500802201,53.142850652723574,17253087.3828,-6.996453418154279,-9.778235933581186,9.9221,9.872099999999989,0.956934463505618,0,0.4543331493354939,-310938,0.6105183969164981,delayed_streaming_900,2
