ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5
NASDAQ:AMD,AMD,144.48,114098271,144.19140134232353,62.76429561505796,63.52996755969168,1.5884574481918459,146.22706797646524,193.7066579780749,29.962313337815793,48.268270274963655,266494097.51,-3.984046977693473,-6.784613870074594,-1.685699999999997,6.8271000000000015,2.295554183042804,0,-4.146487096132157,1826638,2.0927261424646213,delayed_streaming_900,2
NASDAQ:MSFT,MSFT,418.35,42813657,418.00872780482786,38.289855072463546,39.429951690820985,0.16908741163136165,417.3662732134707,476.0105267862721,38.140131191399284,45.46745033586236,467495126.92,-2.234824175884496,-6.083807608684083,0.972500000000025,-2.599999999999966,2.1158807436585003,0,-0.5101130810116604,1057456,1.9412485448567445,delayed_streaming_900,2
AMEX:BOIL,BOIL,9.44,15220183,9.446039302356711,83.43589743589673,81.38964832340183,-0.7243869966768232,9.486285311844428,13.964032352748731,40.990025747729355,60.90058289440936,2172294.89,-1.7656399638031643,-1.7149830964448096,0.060100000000000264,-0.6449999999999996,1.129648202728133,0,-1.3584117032392975,77926,1.0916790903441598,delayed_streaming_900,2
AMEX:EWJ,EWJ,70.97,7564025,71.00776829225097,61.62790697674428,71.45851277634168,0.5382436260623367,70.86309730074835,72.27047639968826,53.616581196079004,41.22573438385599,39706566.9,0.30085192927103727,0.1650756586791431,0.05500000000000682,2.1111000000000075,1.3708651151286366,0,-0.042253521126762165,735579,1.5472630747439942,delayed_streaming_900,2
NASDAQ:AFRM,AFRM,28.29,7141967,28.439955917297752,19.262981574539413,17.745457940619797,-2.2752936057654094,28.586018883374848,32.86642210112582,31.147705672224564,42.86679821515609,7737531.3,-0.6765982973839674,-0.881080314854433,-0.4399999999999977,0.8900000000000006,1.43120241172042,0,0.640341515474919,317289,1.3148399557886243,delayed_streaming_900,2
NASDAQ:ASML,ASML,936.7,2405629,935.3518165919855,41.82805164319211,44.64243005124055,1.795724155911873,926.734122882548,1156.766314523659,40.21349916417644,43.46260772873557,71264526.6,-27.919325866065485,-37.828988420938686,14.399999999999977,72.75,0.9227643435075256,0,1.2079695738611875,81773,1.1384736071672619,delayed_streaming_900,2
AMEX:DRIP,DRIP,9.53,2217845,9.449742462828953,78.94955974587423,63.066670649613684,0.15764582238569408,9.41906508588447,10.13609302040817,52.64300013719429,84.09848178413215,584684.5599999999,0.03167251181809969,0.035724108448695446,0.13429999999999964,-0.14000000000000057,1.1224694970420146,0,1.8162393162393158,56701,1.1243843020722988,delayed_streaming_900,2
NASDAQ:NNE,NNE,11.81,1165648,11.956825358896454,8.21717328025481,7.8218516420750674,-1.3813311008790365,12.068040504937743,31.503255699987353,37.20137629089567,19.06461703083626,457028.66,0.3190634541532617,-1.229225674961416,-0.35970000000000013,-1.0300000000000011,0.7504634005819187,0,-8.093385214007775,44068,0.7701314415413306,delayed_streaming_900,2
AMEX:KOLD,KOLD,73.76,604517,73.89920693782663,21.11895543915521,25.8212471617769,0.3948264125255167,73.62871554773913,78.23959424265446,54.46832279726207,38.00814895415594,535131.1799999999,5.253627842981251,5.5474626328570125,-0.6233000000000004,4.220099999999988,0.5726928966006362,0,0.9581166164796098,15761,0.6574497951413576,delayed_streaming_900,2
AMEX:FXY,FXY,61.68,553489,61.64849789509401,77.64227642276398,80.83930082095128,0.6198010112542741,61.55679553494522,61.28189389388747,70.17046210452126,49.15281457194886,854961.71,0.3289740404891427,0.6274238455344161,0.23999999999999488,1.3599999999999994,3.4362862285921953,0,0.24378352023402988,65502,3.322384553095882,delayed_streaming_900,2
