ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5
NYSE:TDOC,TDOC,9.545,4709487,9.593508929066594,7.492997198879931,10.790679908327162,-1.6486347243688835,9.66930709653087,9.942172918780665,44.9977678058057,10.796515770893492,573139.07,-0.2734933214969927,-0.17506439353823744,0.03500000000000014,-0.025000000000000355,2.0744005324602828,0,-1.9013360739979495,-5694,0.7224581495076617,delayed_streaming_900,2
NASDAQ:GH,GH,35.72,1419265,35.690958681399394,49.122807017544055,59.9293372319691,0.11220196353435946,35.620590895553896,36.60367183250185,50.9643355541739,34.25105863764456,301366.36,1.316731805724167,1.7074090936623136,-0.7600000000000051,-0.4100000000000037,2.345475497409361,0,-2.297592997811825,-11351,0.828699312880213,delayed_streaming_900,2
NYSE:OKLO,OKLO,9.375,1381882,9.307170461172118,92.55310457516369,91.74754901960797,4.4035674470457025,9.123838062227755,9.659159957785278,48.944456004448746,74.80965711524262,211536.62,-0.1137152992801288,0.015922593046237665,0.5250000000000004,0.5150000000000006,0.7658866562841646,0,3.8205980066445258,-31161,0.4452942492716143,delayed_streaming_900,2
NASDAQ:TER,TER,128.455,903008,127.97450874915876,95.45727545727614,93.30248946983153,0.6780856818092809,127.7375507029523,172.083994543325,34.459593299689075,86.21412838441489,1106039.1600000001,-1.5305777430071918,-5.242772078187841,5.180000000000007,4.240000000000009,0.9957964079205676,0,1.3451676528599705,-34012,0.3167025739203738,delayed_streaming_900,2
NYSE:MGA,MGA,44.665,585856,44.65567884863271,75.6856315242937,84.11846167488572,0.4836895388076407,44.47017629750035,45.93749627568702,48.59261942287527,58.22806678818898,475994.90499999997,0.04080058379721358,0.07897897957550981,0.9050000000000011,0.9750999999999976,1.1570576153856948,-1,1.4882981140649878,-10039,0.3748133629623829,delayed_streaming_900,2
NASDAQ:CDNA,CDNA,19.39,374974,19.215685141330198,88.78431372548982,79.17647058823468,1.5183246073298384,19.117687884563104,20.7389585420893,60.65588572458509,90.44923230694178,25207.0,1.088693134617491,1.1626233758886713,0.7100000000000009,0.7300000000000004,1.3911636332704695,0,2.6469031233456857,16940,0.5353443880810657,delayed_streaming_900,2
NASDAQ:CRSP,CRSP,57.59,353025,57.561393334389535,35.71428571428598,28.45804988662155,0.9815950920245439,57.16960201421772,61.23306064234274,46.39078869084843,46.02023191509473,267886.5,-0.027590003424297915,0.08209103070068835,1.3200000000000003,1.1599999999999966,0.6956214639856532,0,1.5159527586814852,-3696,0.28930454555400315,delayed_streaming_900,2
NASDAQ:NTLA,NTLA,26.44,238170,26.47547531263968,35.53508771929811,38.89766081871331,0.7621951219512304,26.351469547019605,28.503192799752863,48.63439060356073,32.29995484532647,217336.80000000002,0.6129736890314457,0.6882249005904733,0.19000000000000128,0.14000000000000057,0.4537123732192351,0,0.15151515151516176,-4002,0.16359651029829628,delayed_streaming_900,2
NASDAQ:IRDM,IRDM,28.69,213049,28.64708296160832,66.10169491525436,63.6534839924671,0.9500351864883869,28.596401894953317,29.138453928344795,49.29254856212585,46.37182567458132,130826.40000000001,0.046063382133723796,0.41034216232556275,0.13500000000000156,0.0,0.44377766546466857,0,0.10467550593161598,-573,0.16757923908049577,delayed_streaming_900,2
NASDAQ:VCYT,VCYT,24.0,209518,24.03498562740531,56.52340425531992,64.4855791962183,0.671140939597316,23.941468905475777,25.43036730392988,40.32303954634225,36.17436675233938,174552.0,0.49665514855620235,0.47774573103077955,0.625,0.8299999999999983,0.8204032289853018,0,1.3513513513513526,4062,0.24666358765912114,delayed_streaming_900,2
NASDAQ:BEAM,BEAM,31.83,207685,31.792132116661886,79.48299319727846,74.95238095238068,0.7278481012658129,31.562091229271168,34.01591815161755,58.25912213215153,51.05832791878918,150014.78999999998,1.509630605601453,2.059331188802947,0.13999999999999702,0.16999999999999815,0.36643785148722824,0,0.15733165512900302,-2093,0.12196201909462999,delayed_streaming_900,2
NASDAQ:KTOS,KTOS,22.63,117859,22.563855775016524,89.65517241379308,92.66140540325212,0.8467023172905424,22.45775302124834,23.063476018207844,51.21600026157477,73.92011461729643,39738.28,0.4390141466061602,0.5430538242703093,0.38009999999999877,0.31969999999999743,0.4083464365803405,0,-0.13239187996470053,-3963,0.13498475939730273,delayed_streaming_900,2
