ticker,name,close,volume,market_cap_basic,premarket_change,premarket_change_abs,premarket_volume
NASDAQ:RDHL,RDHL,0.3841,170119,12240112.0,66.12861234053632,0.254,38680065
NASDAQ:BBLG,BBLG,2.16,4665577,2377056.0,46.759259259259245,1.0099999999999998,16174364
NASDAQ:MDJH,MDJH,1.61,1782580,18797097.000000004,37.88819875776398,0.6100000000000001,712883
NASDAQ:IMRX,IMRX,1.13,6812184,33508290.999999996,29.203539823008857,0.33000000000000007,9840633
NASDAQ:CDNA,CDNA,19.99,1336434,1041155023.0,25.062531265632828,5.010000000000002,15676
NYSE:MAX,MAX,14.67,1461224,965918315.0,22.699386503067483,3.33,17406
NASDAQ:GLMD,GLMD,0.3074,46546,1847368.0000000002,22.576447625243986,0.06940000000000002,620
NYSE:OLO,OLO,4.78,1540761,767285056.0,21.548117154811703,1.0299999999999994,18830
NASDAQ:HUGE,HUGE,0.101,3042147,4084204.565517242,21.28712871287128,0.02149999999999999,47726006
NASDAQ:BFI,BFI,0.5649,36975666,15480263.0,20.552310143388226,0.11610000000000009,3275905
NYSE:NOVA,NOVA,7.07,10254906,876550403.9999999,19.943422913719942,1.4100000000000001,162687
NASDAQ:FBL,FBL,23.02,2015664,,18.375325803649005,4.23,199851
NASDAQ:METU,METU,23.76,451251,,18.3080808080808,4.349999999999998,28267
NYSE:RSI,RSI,10.01,2016373,2252881578.0,17.28271728271729,1.7300000000000004,38204
NASDAQ:GPAK,GPAK,0.154,299106,3939214.9999999995,16.88311688311688,0.025999999999999995,120
NYSE:SHAK,SHAK,87.62,2002635,3718300584.0000005,16.41177813284638,14.379999999999995,90245
NYSE:EEX,EEX,5.67,61402,1155753760.9999998,14.638447971781307,0.8300000000000001,6800
NASDAQ:MSGM,MSGM,1.75,8901,6605648.000000001,14.285714285714285,0.25,1200
NASDAQ:VERO,VERO,0.7003,74656,4450567.0,14.236755676138799,0.09970000000000001,1100
AMEX:ATCH,ATCH,0.334,2688428,4160021.9999999995,13.712574850299402,0.04580000000000001,1101351
NASDAQ:PRFX,PRFX,0.4045,59716,1402904.0,13.300370828182931,0.05379999999999996,341291
NYSE:LTH,LTH,20.77,1312432,4129804131.0,12.566201251805486,2.6099999999999994,11122
NYSE:CVNA,CVNA,133.23,8226954,26987900671.0,12.16692937026196,16.210000000000008,105786
NASDAQ:KXIN,KXIN,0.1115,6141591,5553431.0,11.838565022421529,0.013200000000000003,3310557
NASDAQ:JAKK,JAKK,21.04,109954,227250775.00000003,11.644486692015207,2.4499999999999993,2000
NASDAQ:WHLR,WHLR,4.85,67435,2749048.0,11.546391752577332,0.5600000000000005,2286
NASDAQ:ESLA,ESLA,1.56,40809,56747015.0,11.538461538461533,0.17999999999999994,4649
NASDAQ:EXAS,EXAS,45.68,3455137,8429317854.0,11.427320490367773,5.219999999999999,3322
NASDAQ:CHRW,CHRW,89.05,4435546,10427285758.0,11.173498034811907,9.950000000000003,2001
NASDAQ:PRPH,PRPH,3.06,34297,58380299.00000001,11.111111111111107,0.33999999999999986,200
NASDAQ:TMDX,TMDX,142.26,1126263,4685659807.0,11.064248558976528,15.740000000000009,22909
NYSE:APTV,APTV,69.39,4139812,18878408238.0,10.9669981265312,7.609999999999999,12632
NASDAQ:SNOA,SNOA,0.365,2029880,6936603.0,10.65753424657534,0.03889999999999999,2042
AMEX:CPHI,CPHI,0.196,343572,3110534.0,10.510204081632642,0.02059999999999998,25612
NASDAQ:CRVS,CRVS,2.57,111006,160756788.0,10.505836575875488,0.27,200
NASDAQ:DRUG,DRUG,1.16,10231,5178051.200000001,10.344827586206906,0.1200000000000001,200
OTC:RYCEY,RYCEY,5.77,4608870,49158795163.01201,10.05199306759099,0.5800000000000001,23920
NASDAQ:TNYA,TNYA,3.5,456363,274811363.0,10.000000000000002,0.3500000000000001,5930
NASDAQ:QNST,QNST,18.7,352954,1033676312.0000001,9.625668449197864,1.8000000000000007,7656
NASDAQ:RCM,RCM,12.88,1368893,5425767262.999999,9.161490683229811,1.1799999999999997,7890779
NASDAQ:HSCS,HSCS,3.85,12716,3295469.0,9.090909090909092,0.3500000000000001,570
NASDAQ:META,META,474.83,24283117,1204422522472.9998,8.906345428890344,42.29000000000002,617917
NASDAQ:SABR,SABR,3.43,5426772,1310028065.0,8.86588921282799,0.30410000000000004,32569
NASDAQ:SAVA,SAVA,22.22,7051068,1066030370.0,8.820882088208826,1.9600000000000009,74052
OTC:CNVVF,CNVVF,2.8,4420,5739410761.400512,8.605035714285725,0.2409410000000003,18094
NASDAQ:ACIW,ACIW,43.23,1311905,4558162022.0,8.58200323849179,3.710000000000001,2037
NYSE:ZETA,ZETA,21.42,5105301,4686483153.0,8.54341736694677,1.8299999999999983,48543
NASDAQ:LSH,LSH,3.8,28506504,28500000.0,8.421052631578956,0.3200000000000003,602277
NASDAQ:VCNX,VCNX,5.1,1061432,8079929.999999999,8.378431372549034,0.4273000000000007,1146
NASDAQ:LXEH,LXEH,0.26,544377,3033342.0,8.192307692307686,0.021299999999999986,21395
