ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:VCNX,VCNX,4.31,3348,4.47,21.0,22.08,-2.22,4.44,8.81,47.46,23.96,502.74,-0.33,-0.58,-0.19,-0.1,0.05,0,-6.3,-724,0.01,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
AMEX:NVDQ,NVDQ,6.7,2943398,6.87,29.63,25.29,-5.5,6.71,8.16,47.34,45.55,838930.28,0.16,0.21,-0.45,-0.38,1.21,0,-2.61,-1725578,0.17,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
AMEX:YANG,YANG,9.1,605666,9.18,23.56,19.55,-2.15,9.1,10.11,42.37,31.97,406538.25,0.3,0.28,-0.24,-0.12,0.75,0,-0.65,-278839,0.09,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
NASDAQ:GRPN,GRPN,11.12,183759,10.93,57.86,61.47,5.2,11.21,20.66,37.91,62.55,29968.4,-0.82,-1.38,0.2,0.77,1.07,0,-0.54,-135931,0.09,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
AMEX:BOIL,BOIL,10.84,2956767,10.74,76.54,84.29,5.14,10.89,11.76,61.94,59.22,696378.86,-1.43,-1.04,0.5,0.5,1.27,0,-0.28,-866968,0.2,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
AMEX:UNG,UNG,14.58,1025355,14.49,74.1,82.82,3.22,14.63,15.09,62.06,56.03,490668.57,-0.84,-0.59,0.42,0.41,1.34,0,-0.21,-379404,0.15,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
NYSE:BBVA,BBVA,9.73,35046,9.75,12.24,36.54,-0.15,9.76,11.55,47.64,20.44,50547.35,-0.12,-0.23,-0.04,0.03,0.21,0,-0.21,-15948,0.01,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
AMEX:SCO,SCO,16.66,138569,16.79,16.92,11.47,-2.57,16.63,18.54,40.75,42.53,30854.32,0.39,0.34,-0.52,-0.68,0.74,0,-0.06,-26520,0.07,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
NASDAQ:ERIC,ERIC,6.74,471795,6.73,82.32,88.2,0.37,6.75,6.9,48.23,59.79,6070.5,0.12,0.09,0.06,0.04,0.32,0,0.07,-264887,0.02,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
AMEX:SPDN,SPDN,12.14,428073,12.12,83.35,67.26,0.02,12.12,12.5,60.81,80.42,149103.48,0.09,0.12,-0.02,-0.02,0.61,0,0.5,-204907,0.05,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
AMEX:QID,QID,43.2,1010725,43.12,83.88,69.49,0.09,43.07,46.97,57.03,77.43,2883689.94,1.19,1.45,-0.33,-0.28,0.64,0,0.71,-290862,0.09,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
AMEX:SPXU,SPXU,30.87,972339,30.8,87.46,71.9,0.15,30.68,33.65,60.21,79.05,1253670.65,0.56,0.8,-0.18,-0.18,0.42,0,1.15,-406080,0.07,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
AMEX:TWM,TWM,10.83,388604,10.79,92.12,91.31,0.93,10.75,11.36,58.76,90.34,102072.75,-0.13,0.07,0.07,0.17,0.52,0,1.31,-283937,0.05,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
AMEX:SPXS,SPXS,8.42,4007198,8.39,87.34,70.98,0.23,8.37,9.17,60.51,78.28,1639211.39,0.16,0.22,-0.05,-0.05,0.62,0,1.32,-1501381,0.06,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
AMEX:VXX,VXX,55.49,750874,55.82,33.31,28.08,-5.69,55.12,76.25,59.47,54.69,1306186.97,4.47,4.95,-5.99,-8.06,0.51,0,1.4,-268861,0.05,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
AMEX:UVXY,UVXY,30.54,1482892,30.92,28.98,24.12,-9.06,30.37,49.96,57.19,52.16,1426820.5,3.41,3.49,-5.46,-7.24,0.82,0,1.86,-386190,0.09,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
AMEX:TZA,TZA,17.3,3146133,17.19,93.04,89.85,1.38,17.18,18.51,57.89,89.62,1294945.83,-0.34,0.11,0.16,0.42,0.52,0,1.94,-1326358,0.08,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
AMEX:UVIX,UVIX,6.52,2217756,6.65,47.7,44.35,-12.47,6.46,13.95,57.16,52.46,1143503.68,0.95,0.83,-1.67,-2.22,1.12,1,2.19,-351165,0.11,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
AMEX:LABD,LABD,6.75,1362217,6.65,93.43,80.44,2.86,6.65,7.19,56.8,94.81,504064.38,-0.16,-0.01,0.17,0.1,0.48,0,3.21,-336777,0.06,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-10-07
