ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
AMEX:NVDQ,NVDQ,6.37,10259917,6.42,20.55,29.27,0.47,6.53,8.16,46.02,29.22,143422.4,0.16,0.18,-0.72,-0.78,0.89,0,-7.41,-148230,0.6,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
AMEX:UVIX,UVIX,6.1,20869390,6.15,71.46,80.26,9.12,6.0,13.94,56.46,32.68,1245284.5,0.94,0.79,-0.95,-1.67,1.74,0,-4.37,-262178,1.01,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
AMEX:UVXY,UVXY,29.04,7930160,29.23,71.84,80.8,6.41,28.83,49.9,56.71,33.32,1059901.92,3.39,3.38,-3.28,-5.59,0.76,0,-3.14,-205581,0.48,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
AMEX:YANG,YANG,8.94,2760693,8.97,13.35,24.8,-0.56,9.04,10.1,40.24,16.92,62580.0,0.3,0.27,-0.37,-0.42,0.6,0,-2.4,-35903,0.4,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
AMEX:SCO,SCO,16.31,962445,16.33,2.63,6.57,-1.63,16.51,18.54,38.31,32.21,3261.8,0.38,0.31,-0.79,-0.73,0.7,0,-2.17,-31368,0.46,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
AMEX:VXX,VXX,53.57,3926645,53.81,70.95,80.1,4.08,53.17,76.13,58.74,34.23,1137134.25,4.44,4.8,-3.73,-6.34,0.43,0,-2.11,-28511,0.28,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
AMEX:LABD,LABD,6.4,9521184,6.49,4.17,7.96,-1.69,6.58,7.15,52.03,15.13,375468.8,-0.16,-0.04,-0.16,-0.19,0.73,0,-2.06,-170920,0.47,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
NASDAQ:VCNX,VCNX,4.52,25445,4.53,1.85,2.73,-3.83,4.57,8.79,49.87,32.45,904.0,-0.32,-0.57,-0.08,-0.08,0.17,0,-1.74,-2600,0.09,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
AMEX:BOIL,BOIL,10.7,7598632,10.71,81.96,91.25,0.99,10.71,11.74,60.23,66.39,347942.6,-1.43,-1.05,0.2,0.31,0.75,0,-1.56,-169357,0.52,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
AMEX:UNG,UNG,14.47,3995077,14.48,72.29,82.03,0.56,14.49,15.08,60.36,53.73,227728.86,-0.84,-0.6,0.19,0.26,0.97,0,-0.96,-168304,0.59,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
AMEX:QID,QID,42.71,3692598,42.8,49.58,62.7,0.72,42.85,46.92,55.63,34.21,870617.13,1.18,1.41,-0.4,-0.71,0.55,0,-0.44,-53890,0.34,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
NASDAQ:ERIC,ERIC,6.72,7325546,6.72,44.87,38.1,-0.74,6.73,6.89,46.49,56.49,978738.87,0.12,0.09,0.0,0.01,0.49,0,-0.3,-507906,0.3,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
AMEX:SPXU,SPXU,30.53,3657027,30.61,37.78,54.95,0.76,30.62,33.61,58.8,27.48,1108815.78,0.55,0.78,-0.26,-0.43,0.41,0,0.03,-51617,0.26,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
AMEX:SPXS,SPXS,8.32,33270069,8.34,42.94,59.24,0.73,8.34,9.16,58.83,27.76,1381402.88,0.16,0.22,-0.07,-0.12,0.8,0,0.06,-1127668,0.48,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
NYSE:BBVA,BBVA,9.76,528578,9.76,77.88,52.67,0.15,9.75,11.54,50.01,82.42,48166.1,-0.12,-0.23,0.03,0.04,0.41,0,0.13,-21386,0.2,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
AMEX:SPDN,SPDN,12.1,2487415,12.11,51.42,64.07,0.32,12.11,12.5,59.57,30.37,1210.0,0.09,0.12,-0.03,-0.05,0.49,0,0.17,-108899,0.32,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
AMEX:TWM,TWM,10.88,4232737,10.92,20.72,42.88,0.37,10.86,11.37,58.44,19.57,544250.0,-0.12,0.07,0.15,0.13,0.99,0,1.82,25831,0.59,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
AMEX:TZA,TZA,17.42,11639608,17.51,23.37,46.08,0.58,17.35,18.53,57.51,20.86,1336417.17,-0.34,0.12,0.38,0.32,0.45,0,2.65,-84003,0.31,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
NASDAQ:GRPN,GRPN,11.53,952574,11.57,13.98,18.9,-0.51,11.45,20.64,40.52,28.14,28421.89,-0.82,-1.35,0.88,0.53,0.92,0,3.13,-11332,0.46,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-12-2024-13-37
