ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
AMEX:SOXL,SOXL,36.65,83589383,37.18,13.42,9.81,-8.27,39.63,73.52,33.25,30.7,21267569.92,-2.79,-4.67,-6.76,-6.27,1.53,0,-12.84,-5670670,0.93,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
NASDAQ:UPST,UPST,25.87,4110091,26.0,13.1,14.94,-3.85,26.75,31.36,36.02,31.13,574510.12,0.71,0.47,-1.89,-2.96,1.37,0,-7.61,-120173,0.77,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
NASDAQ:IMNN,IMNN,1.34,2919064,1.32,95.59,90.71,0.75,1.34,2.32,47.07,86.74,4044.12,0.06,0.09,-0.01,-0.09,0.25,0,-6.94,-71161,0.18,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
NASDAQ:AMD,AMD,135.82,50109563,136.07,18.6,11.93,-1.18,139.31,194.03,27.09,46.26,60372883.41,-4.66,-7.35,-8.29,-8.54,1.58,0,-6.33,-1819809,0.86,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
NYSE:BA,BA,179.61,6974011,179.64,43.42,45.06,-1.07,182.41,189.91,37.77,23.0,4726093.72,0.76,0.86,-14.93,-14.06,2.37,0,-5.47,-101193,1.08,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
NASDAQ:AFRM,AFRM,26.72,3211200,26.92,10.59,15.51,-4.09,27.68,32.89,28.54,4.49,607437.13,-0.73,-0.95,-1.48,-2.2,1.21,0,-5.18,-118568,0.61,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
NASDAQ:NVDA,NVDA,111.63,255902899,112.06,15.65,9.1,-3.11,115.35,136.87,39.44,36.25,264520788.21,-1.24,-2.84,-4.73,-3.91,1.42,0,-5.02,-11949553,0.79,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
NASDAQ:SOFI,SOFI,7.19,23603611,7.24,9.21,11.71,-3.36,7.41,8.06,39.7,17.06,1645697.96,0.17,0.16,-0.42,-0.52,0.88,0,-5.02,-1190976,0.5,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
NASDAQ:SBUX,SBUX,74.21,7659757,74.24,27.09,27.87,-0.95,75.13,78.35,37.75,36.09,3383302.77,-0.81,-0.57,-4.78,-4.91,1.56,1,-4.73,-199636,0.48,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
AMEX:NVDY,NVDY,25.53,1380387,25.65,16.68,9.91,-2.85,26.45,29.79,42.37,32.86,87976.38,-0.75,-0.91,-0.92,-0.77,1.16,0,-4.49,-47907,0.75,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
NASDAQ:META,META,502.1,29359073,503.18,19.67,25.67,-1.37,513.25,543.09,43.34,20.81,87242424.96,-6.94,-6.8,29.38,28.86,3.91,0,-3.63,-469727,1.92,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
NASDAQ:IBIT,IBIT,35.79,17279141,35.8,27.89,24.97,-2.19,36.16,40.58,44.99,13.34,5528128.6,0.3,0.38,-1.91,-2.1,1.07,0,-2.75,-431208,0.61,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
NASDAQ:CRWD,CRWD,226.02,5637064,226.13,33.53,36.89,-1.08,227.44,436.75,27.53,30.99,4254487.83,-26.02,-36.27,-4.84,-5.27,0.39,0,-2.58,-118582,0.26,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
NYSE:MA,MA,461.59,1120663,461.73,18.88,18.33,-0.54,463.49,461.02,50.65,11.21,7658701.28,-1.05,1.37,-1.57,-0.61,0.99,0,-0.83,-11869,0.42,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
NASDAQ:PYPL,PYPL,65.27,9811537,65.51,14.21,10.26,-1.69,66.38,64.84,54.49,29.64,4713603.59,-0.15,0.61,-0.83,-0.62,1.26,0,-0.78,-443457,0.65,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
NYSE:PFE,PFE,30.55,19086883,30.52,32.82,29.94,1.25,30.36,31.57,61.74,44.56,3996874.34,0.58,0.68,-0.31,-0.55,1.09,0,-0.55,-254940,0.44,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
NASDAQ:TLRY,TLRY,2.04,18796078,2.04,27.67,35.15,-0.49,2.06,2.04,45.81,12.94,233262.56,0.03,0.05,0.02,0.0,1.2,0,1.24,-551108,0.74,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
NASDAQ:MHUA,MHUA,0.93,1602041,0.92,82.94,86.08,1.66,0.92,1.05,34.72,54.66,7955.86,0.05,0.04,-0.08,-0.12,0.54,0,3.33,-11591,0.26,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
AMEX:YANG,YANG,9.36,3806383,9.32,95.9,92.47,1.46,9.22,9.64,63.62,86.8,559971.59,0.19,0.27,0.33,0.45,1.08,0,4.06,-170456,0.68,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
NASDAQ:NVAX,NVAX,12.63,3976190,12.65,69.35,74.61,0.88,12.47,17.9,40.86,55.01,162879.04,0.36,0.07,-0.0,0.02,0.74,0,4.39,-109989,0.45,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
AMEX:SOXS,SOXS,27.67,46036739,27.43,90.13,93.83,6.63,25.98,29.69,61.18,73.0,8179977.1,0.39,1.07,3.23,2.85,1.22,0,11.04,-2448720,0.74,delayed_streaming_900,2,trader_live_email,08-01-2024-13-04
