ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
AMEX:SOXL,SOXL,33.65,128332336,34.34,9.9,10.92,-8.27,37.93,73.86,31.46,19.81,31444465.36,-2.84,-4.91,-8.83,-9.69,1.84,0,-19.99,-4286962,1.43,delayed_streaming_900,2,etf_leverage,08-01-2024-15-04
NASDAQ:NVDL,NVDL,49.75,35734245,49.91,26.73,22.32,-7.72,55.22,84.51,36.77,53.97,10057295.32,-2.3,-4.31,-11.59,-9.01,1.91,0,-16.62,-838238,1.59,delayed_streaming_900,2,etf_leverage,08-01-2024-15-04
AMEX:NVDX,NVDX,12.11,11602512,12.13,28.13,22.97,-7.59,13.4,20.48,36.71,55.74,550961.97,-0.56,-1.04,-2.8,-2.15,2.11,0,-16.54,-382484,1.69,delayed_streaming_900,2,etf_leverage,08-01-2024-15-04
NASDAQ:CONL,CONL,37.65,3073236,38.13,41.72,45.89,-5.18,40.6,62.25,27.72,28.92,7646576.88,-0.04,-1.48,-6.26,-7.49,0.98,0,-15.79,159920,0.85,delayed_streaming_900,2,etf_leverage,08-01-2024-15-04
AMEX:TECL,TECL,73.04,2917394,73.74,15.4,13.96,-5.59,79.43,118.28,32.08,33.83,1844288.5,-2.42,-5.03,-13.12,-10.72,1.56,0,-13.18,-83285,1.17,delayed_streaming_900,2,etf_leverage,08-01-2024-15-04
AMEX:BOIL,BOIL,8.78,18984027,8.83,15.92,16.79,-6.4,9.37,13.57,34.15,30.1,1366777.33,-1.76,-1.73,-1.08,-0.6,1.74,0,-12.69,-521524,1.49,delayed_streaming_900,2,etf_leverage,08-01-2024-15-04
AMEX:TNA,TNA,42.62,39162551,42.83,13.43,17.93,-1.67,44.81,52.52,33.73,15.83,6109869.68,2.38,2.21,-4.6,-5.61,1.65,0,-11.35,-696322,1.34,delayed_streaming_900,2,etf_leverage,08-01-2024-15-04
AMEX:URTY,URTY,50.25,3660544,50.54,16.74,20.6,-1.61,52.6,61.9,33.56,18.24,816060.0,2.81,2.62,-5.29,-6.61,2.2,0,-11.31,-45737,1.67,delayed_streaming_900,2,etf_leverage,08-01-2024-15-04
NASDAQ:TSLT,TSLT,13.95,5336414,14.14,6.98,7.19,-4.77,14.88,23.1,35.04,12.7,700679.32,0.8,0.07,-1.72,-2.06,0.83,0,-10.1,-248545,0.67,delayed_streaming_900,2,etf_leverage,08-01-2024-15-04
NASDAQ:TSLL,TSLL,10.19,37417874,10.33,7.27,8.17,-4.81,10.95,16.81,35.2,12.97,7298559.0,0.59,0.06,-1.27,-1.51,0.91,0,-10.06,-1240576,0.75,delayed_streaming_900,2,etf_leverage,08-01-2024-15-04
