ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:NNE,NNE,9.77,970703,9.88,13.24,17.77,-5.7,10.51,31.59,32.82,32.46,8646.45,-0.07,-1.64,-0.92,-2.21,0.78,0,-13.0,-20816,0.63,delayed_streaming_900,2,turttle_email,08-01-2024-14-52
AMEX:BOIL,BOIL,8.8,18536615,8.87,14.68,9.24,-6.04,9.38,13.57,34.43,50.01,776833.83,-1.76,-1.73,-1.07,-0.59,1.73,1,-12.44,-972049,1.45,delayed_streaming_900,2,turttle_email,08-01-2024-14-52
NASDAQ:AMD,AMD,131.7,68876518,132.39,12.17,10.44,-3.3,137.74,194.44,25.5,4.95,30721977.64,-4.72,-7.68,-10.96,-12.44,1.66,0,-9.17,-783338,1.18,delayed_streaming_900,2,turttle_email,08-01-2024-14-52
NASDAQ:AFRM,AFRM,26.46,4630767,26.46,63.13,63.66,-2.22,27.31,32.91,29.64,24.74,152823.2,-0.74,-0.97,-2.2,-1.76,1.32,0,-6.12,-32371,0.88,delayed_streaming_900,2,turttle_email,08-01-2024-14-52
NASDAQ:ASML,ASML,876.28,999649,878.45,13.79,18.83,-1.65,899.41,1147.06,34.85,17.72,1109370.48,-30.08,-38.74,-47.85,-56.12,0.78,0,-5.07,-1747,0.54,delayed_streaming_900,2,turttle_email,08-01-2024-14-52
AMEX:EWJ,EWJ,67.23,6179717,67.33,54.26,60.72,-0.93,68.01,72.49,39.11,28.99,385631.28,0.23,-0.04,-1.4,-3.52,2.1,0,-2.03,-189986,1.21,delayed_streaming_900,2,turttle_email,08-01-2024-14-52
NASDAQ:MSFT,MSFT,414.24,19969718,414.63,24.7,24.0,-1.18,421.09,475.22,34.09,51.73,11764036.86,-3.2,-7.05,-12.75,-4.16,1.35,0,-1.55,-151276,0.83,delayed_streaming_900,2,turttle_email,08-01-2024-14-52
AMEX:FXY,FXY,61.78,190393,61.75,78.09,83.15,0.17,61.61,61.69,70.37,49.45,1595097.82,0.41,0.74,0.39,0.48,1.23,0,0.55,8618,0.94,delayed_streaming_900,2,turttle_email,08-01-2024-14-52
AMEX:DRIP,DRIP,10.24,2210808,10.22,84.28,86.06,1.99,9.96,10.23,59.26,54.75,123964.5,0.04,0.08,0.52,0.76,1.46,0,8.07,-37052,1.13,delayed_streaming_900,2,turttle_email,08-01-2024-14-52
AMEX:KOLD,KOLD,78.75,1294619,78.5,82.17,90.29,5.31,74.6,79.47,62.25,54.92,39376.45,5.39,5.92,8.24,4.26,1.92,-1,13.82,-100591,1.55,delayed_streaming_900,2,turttle_email,08-01-2024-14-52
