ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:IMNN,IMNN,1.33,1965919,1.35,19.22,32.68,1.15,1.38,2.32,46.32,22.07,33468.06,0.06,0.09,-0.22,-0.38,0.22,0,-7.64,-166452,0.12,delayed_streaming_900,2,trader_live_email,08-01-2024-10-31
NYSE:BA,BA,183.4,2697149,185.2,2.73,4.78,-6.4,185.38,189.82,39.67,26.11,2752499.04,0.82,1.17,-9.87,-4.85,3.03,1,-3.47,-558368,0.42,delayed_streaming_900,2,trader_live_email,08-01-2024-10-31
NASDAQ:AMD,AMD,140.47,16354171,142.09,4.39,3.55,-3.57,143.29,193.68,28.37,6.12,25490761.62,-4.58,-6.98,-4.1,-10.85,1.4,0,-3.12,-4721888,0.28,delayed_streaming_900,2,trader_live_email,08-01-2024-10-31
NASDAQ:SBUX,SBUX,75.49,2456603,76.21,1.6,3.23,-4.26,76.26,78.4,39.21,20.9,1821966.5,-0.79,-0.47,-3.71,-3.17,1.28,0,-3.08,-579146,0.15,delayed_streaming_900,2,trader_live_email,08-01-2024-10-31
NASDAQ:CRWD,CRWD,228.34,1860574,229.4,25.92,31.63,-1.54,229.55,436.53,27.63,22.34,1289094.72,-25.98,-36.08,-5.83,-6.48,0.29,0,-1.58,-209477,0.09,delayed_streaming_900,2,trader_live_email,08-01-2024-10-31
NYSE:PFE,PFE,30.36,5969296,30.42,31.99,26.07,-1.67,30.45,31.55,58.25,59.86,1260617.19,0.57,0.66,-0.63,-0.19,0.89,0,-1.16,-1554403,0.14,delayed_streaming_900,2,trader_live_email,08-01-2024-10-31
NASDAQ:UPST,UPST,27.7,1274486,27.71,26.98,25.08,-2.38,27.67,31.45,40.43,57.7,154592.29,0.74,0.62,-1.0,0.16,1.08,0,-1.07,-255706,0.24,delayed_streaming_900,2,trader_live_email,08-01-2024-10-31
AMEX:SOXL,SOXL,41.6,26804384,42.36,7.86,8.58,-6.55,42.49,73.12,36.47,21.2,4010188.52,-2.72,-4.28,-1.32,-0.74,1.08,0,-1.07,-5817146,0.3,delayed_streaming_900,2,trader_live_email,08-01-2024-10-31
NASDAQ:SOFI,SOFI,7.52,6883088,7.57,11.64,25.04,-2.21,7.59,8.09,43.14,15.02,412849.43,0.17,0.18,-0.19,0.21,0.64,0,-0.66,-1990203,0.15,delayed_streaming_900,2,trader_live_email,08-01-2024-10-31
NYSE:MA,MA,462.86,383564,463.96,12.71,19.55,-0.15,464.99,461.35,50.96,20.55,231892.86,-1.03,1.47,2.04,1.45,0.88,0,-0.56,-58603,0.14,delayed_streaming_900,2,trader_live_email,08-01-2024-10-31
NASDAQ:META,META,518.84,14307893,514.46,86.12,88.49,9.66,520.15,545.16,51.74,53.61,47991544.31,-6.67,-5.47,45.01,47.85,4.38,-1,-0.41,-1375727,0.94,delayed_streaming_900,2,trader_live_email,08-01-2024-10-31
NASDAQ:IBIT,IBIT,36.77,3534113,36.9,7.47,9.99,-3.06,36.84,40.64,47.96,45.19,476409.6,0.32,0.45,-1.08,-1.15,0.47,0,-0.08,-633937,0.13,delayed_streaming_900,2,trader_live_email,08-01-2024-10-31
AMEX:NVDY,NVDY,26.8,599300,26.83,49.68,55.8,0.7,26.9,29.77,46.3,41.5,55774.13,-0.73,-0.81,0.51,0.77,1.2,0,0.27,-92534,0.33,delayed_streaming_900,2,trader_live_email,08-01-2024-10-31
