ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:IMNN,IMNN,1.38,1364196,1.36,63.63,67.31,-0.36,1.41,2.32,46.93,86.92,75966.28,0.06,0.1,-0.13,-1.92,0.14,0,-3.82,-303675,0.08,delayed_streaming_900,2,trader_live_email,08-01-2024-09-55
NASDAQ:SBUX,SBUX,75.96,676457,77.71,5.06,14.98,-3.87,76.81,78.44,39.99,6.17,17044878.0,-0.78,-0.43,-3.14,0.17,0.85,0,-2.48,-558219,0.04,delayed_streaming_900,2,trader_live_email,08-01-2024-09-55
AMEX:SOXS,SOXS,24.33,7456780,23.98,42.78,31.16,-3.41,24.49,29.2,55.85,77.33,30658695.27,0.33,0.8,-0.7,-5.08,0.94,0,-2.37,-684193,0.12,delayed_streaming_900,2,trader_live_email,08-01-2024-09-55
NYSE:BA,BA,186.75,720549,190.73,3.24,4.3,-4.14,187.57,190.12,41.79,4.54,38646088.7,0.87,1.43,-3.59,0.14,2.29,0,-1.71,-346181,0.11,delayed_streaming_900,2,trader_live_email,08-01-2024-09-55
NASDAQ:UPST,UPST,27.58,493719,27.97,8.8,10.01,-4.42,27.74,31.44,39.29,20.13,3138502.28,0.74,0.61,-1.45,1.54,1.23,0,-1.5,-280052,0.09,delayed_streaming_900,2,trader_live_email,08-01-2024-09-55
NASDAQ:META,META,513.48,6489848,487.63,76.36,72.37,8.46,517.18,544.39,49.98,97.98,618142628.4,-6.75,-5.89,39.71,50.3,4.28,0,-1.44,2110819,0.42,delayed_streaming_900,2,trader_live_email,08-01-2024-09-55
NASDAQ:CRWD,CRWD,230.78,733691,231.38,54.08,51.54,0.3,230.01,436.31,29.42,18.3,20783129.32,-25.95,-35.89,-4.52,-3.01,0.29,0,-0.53,-252288,0.03,delayed_streaming_900,2,trader_live_email,08-01-2024-09-55
NASDAQ:AFRM,AFRM,28.04,266587,28.32,15.62,16.45,-3.07,28.03,32.85,32.49,14.91,1451123.52,-0.71,-0.84,-0.67,0.68,0.69,0,-0.5,-355077,0.05,delayed_streaming_900,2,trader_live_email,08-01-2024-09-55
NASDAQ:AMD,AMD,144.48,5022323,144.61,63.58,64.91,1.33,145.86,193.47,29.71,90.05,183301416.62,-4.52,-6.66,-0.96,6.02,1.33,0,-0.36,-1101219,0.09,delayed_streaming_900,2,trader_live_email,08-01-2024-09-55
NASDAQ:IBIT,IBIT,36.73,1645052,37.2,7.29,11.01,-3.3,36.79,40.64,47.63,0.88,10170525.57,0.32,0.45,-1.09,-0.8,0.44,0,-0.19,-3021915,0.06,delayed_streaming_900,2,trader_live_email,08-01-2024-09-55
