ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:CDNA,CDNA,23.31,2840832,23.04,84.35,91.63,4.18,23.74,21.94,57.64,79.93,600022.71,1.18,1.51,3.21,4.03,9.99,0,-10.35,9040,3.67,delayed_streaming_900,2,ark_previous,08-01-2024-13-40
NYSE:OKLO,OKLO,8.24,2686435,8.26,64.95,70.19,-1.08,8.46,9.61,36.36,30.49,46835.59,-0.1,-0.05,-1.21,-1.05,1.61,0,-9.65,-21162,0.79,delayed_streaming_900,2,ark_previous,08-01-2024-13-40
NASDAQ:GH,GH,32.41,2346371,32.71,4.85,6.91,-2.34,33.65,36.5,38.35,14.34,343481.18,1.34,1.48,-3.55,-3.39,2.74,0,-9.42,-1109,1.17,delayed_streaming_900,2,ark_previous,08-01-2024-13-40
NASDAQ:AMD,AMD,134.07,56572636,134.96,1.67,3.75,-1.99,138.84,194.2,26.02,10.54,106112681.44,-4.69,-7.49,-10.97,-10.4,1.59,0,-7.54,-713533,0.97,delayed_streaming_900,2,ark_previous,08-01-2024-13-40
NASDAQ:COIN,COIN,211.02,4510076,212.93,3.99,4.89,-2.7,218.66,265.82,27.87,9.34,14293250.04,1.94,-1.35,-21.29,-21.08,0.81,0,-6.88,-76378,0.52,delayed_streaming_900,2,ark_previous,08-01-2024-13-40
NASDAQ:VCYT,VCYT,22.56,312718,22.7,5.53,9.63,-1.27,23.28,25.38,33.87,14.4,23290.29,0.47,0.37,-1.6,-1.38,0.86,0,-6.7,-8975,0.37,delayed_streaming_900,2,ark_previous,08-01-2024-13-40
NASDAQ:TER,TER,121.56,1371019,122.43,2.05,4.0,-2.04,125.75,172.48,33.12,16.49,625033.16,-2.37,-5.91,-8.62,-6.95,1.23,0,-5.6,-26379,0.46,delayed_streaming_900,2,ark_previous,08-01-2024-13-40
NASDAQ:NTLA,NTLA,25.2,592241,25.33,3.52,11.49,-0.94,25.64,28.4,35.35,24.18,128268.0,0.6,0.56,-1.91,-1.25,1.0,0,-5.37,-21923,0.43,delayed_streaming_900,2,ark_previous,08-01-2024-13-40
NASDAQ:KTOS,KTOS,21.6,350496,21.68,1.18,3.33,-1.39,22.05,23.02,34.44,11.65,91412.48,0.44,0.46,-1.34,-0.98,1.12,0,-4.17,1958,0.41,delayed_streaming_900,2,ark_previous,08-01-2024-13-40
NASDAQ:TWST,TWST,53.15,562393,53.17,46.58,50.64,0.21,54.19,60.7,38.62,50.07,310130.25,2.19,1.77,-4.31,-3.25,1.28,0,-3.96,-9467,0.59,delayed_streaming_900,2,ark_previous,08-01-2024-13-40
NASDAQ:CRSP,CRSP,55.27,628624,55.47,12.14,21.73,-0.61,56.03,61.15,38.5,25.12,293096.81,-0.04,-0.09,-3.89,-2.42,1.12,0,-3.69,-8012,0.54,delayed_streaming_900,2,ark_previous,08-01-2024-13-40
NYSE:MGA,MGA,42.67,1550239,42.81,7.69,11.06,-0.76,43.43,45.89,39.46,24.98,324197.28,0.02,-0.04,-2.37,-2.02,2.26,0,-2.8,-27801,0.93,delayed_streaming_900,2,ark_previous,08-01-2024-13-40
NASDAQ:BEAM,BEAM,30.35,726192,30.44,15.07,34.04,1.2,30.33,34.16,47.58,20.8,58382.28,1.59,1.94,-2.33,-1.39,1.22,0,-2.47,-11605,0.44,delayed_streaming_900,2,ark_previous,08-01-2024-13-40
NASDAQ:ZM,ZM,59.13,1130163,59.28,8.97,7.14,-1.1,59.9,61.3,40.53,7.44,693589.6,0.01,0.25,-1.66,-2.16,1.06,0,-2.17,-21446,0.49,delayed_streaming_900,2,ark_previous,08-01-2024-13-40
NASDAQ:INTU,INTU,634.55,407988,636.98,6.4,5.0,-1.05,645.49,669.19,33.31,13.44,2564463.13,3.02,1.32,-13.46,-12.51,0.89,0,-1.92,13697,0.32,delayed_streaming_900,2,ark_previous,08-01-2024-13-40
NASDAQ:IRDM,IRDM,28.82,347290,28.89,28.95,53.74,0.88,28.74,29.4,47.45,19.85,66026.62,0.13,0.47,-0.47,-0.09,0.48,0,0.77,-10639,0.28,delayed_streaming_900,2,ark_previous,08-01-2024-13-40
NYSE:TDOC,TDOC,8.72,13733315,8.8,2.73,5.24,1.11,8.69,9.97,42.98,4.91,578184.96,-0.27,-0.23,-1.0,-0.93,4.16,0,7.26,-80706,1.94,delayed_streaming_900,2,ark_previous,08-01-2024-13-40
