ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:NNE,NNE,9.84,883628,10.06,10.44,9.93,-4.55,10.57,31.59,32.99,3.52,21494.8,-0.07,-1.64,-2.32,-2.12,0.76,0,-12.4,-47185,0.58,delayed_streaming_900,2,turttle_email,08-01-2024-14-01
AMEX:BOIL,BOIL,9.13,14434290,9.16,21.19,15.99,-2.15,9.56,13.53,35.67,48.4,248150.68,-1.75,-1.7,-0.31,-0.4,1.53,1,-9.16,-597363,1.13,delayed_streaming_900,2,turttle_email,08-01-2024-14-01
NASDAQ:AMD,AMD,132.56,61426814,133.63,4.3,3.64,-2.96,138.38,194.35,25.65,4.36,10568339.79,-4.71,-7.62,-10.51,-11.0,1.64,0,-8.58,-3090081,1.05,delayed_streaming_900,2,turttle_email,08-01-2024-14-01
NASDAQ:AFRM,AFRM,26.07,4207880,26.36,4.45,3.22,-2.72,27.38,32.94,27.5,1.77,83143.04,-0.74,-1.0,-2.28,-2.91,1.36,0,-7.49,-322327,0.8,delayed_streaming_900,2,turttle_email,08-01-2024-14-01
NASDAQ:ASML,ASML,876.54,878052,879.97,4.57,9.92,-1.71,902.22,1147.04,34.7,18.87,438270.0,-30.08,-38.72,-55.41,-47.46,0.73,0,-5.04,-25058,0.48,delayed_streaming_900,2,turttle_email,08-01-2024-14-01
AMEX:EWJ,EWJ,67.22,5306728,67.39,2.68,3.66,-1.02,68.13,72.49,38.2,9.08,1435941.65,0.23,-0.04,-3.64,-3.46,2.03,0,-2.04,-175068,1.03,delayed_streaming_900,2,turttle_email,08-01-2024-14-01
NASDAQ:MSFT,MSFT,414.46,18362468,416.31,9.22,9.59,-0.59,421.73,475.2,33.86,9.4,5725350.44,-3.19,-7.03,-1.74,-2.55,1.38,0,-1.5,-464009,0.76,delayed_streaming_900,2,turttle_email,08-01-2024-14-01
AMEX:FXY,FXY,61.75,139554,61.71,95.79,92.03,0.29,61.54,61.69,70.21,86.38,712101.0,0.41,0.74,0.04,0.37,0.91,0,0.5,9372,0.69,delayed_streaming_900,2,turttle_email,08-01-2024-14-01
AMEX:DRIP,DRIP,10.18,1941884,10.15,86.27,87.66,0.99,9.92,10.21,58.7,83.79,5090.0,0.04,0.07,0.73,0.68,1.49,0,7.38,-93150,1.0,delayed_streaming_900,2,turttle_email,08-01-2024-14-01
AMEX:KOLD,KOLD,76.4,915816,76.17,80.41,85.27,2.33,72.69,78.94,61.24,46.88,7653.0,5.35,5.73,2.56,3.1,1.48,-1,10.42,-33543,1.1,delayed_streaming_900,2,turttle_email,08-01-2024-14-01
