"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-03-29","away","ari","col","0","1","0","0","0","2","0"
"2024-03-30","away","ari","col","0","0","0","0","0","2","0"
"2024-03-31","away","ari","col","0","0","0","0","0","2","0"
"2024-04-01","away","chc","col","0","0","0","0","0","1","0"
"2024-04-02","away","chc","col","1","0","0","0","0","1","0"
"2024-04-03","away","chc","col","0","0","0","0","0","1","0"
"2024-04-05","home","col","tb","0","2","0","0","1","2","0"
"2024-04-06","home","col","tb","0","0","0","0","0","1","0"
"2024-03-28","away","ari","col","0","0","0","0","0","0","0"
"2024-04-07","home","col","tb","1","0","0","0","0","2","0"
"2024-04-13","away","tor","col","0","0","0","0","0","2","0"
"2024-04-12","away","tor","col","0","0","0","0","0","1","0"
"2024-04-10","home","col","ari","2","0","0","0","1","2","2"
"2024-04-09","home","col","ari","1","1","0","0","1","1","0"
"2024-04-08","home","col","ari","1","0","1","0","1","2","0"
"2024-04-17","away","phi","col","1","0","0","0","1","2","0"
"2024-04-15","away","phi","col","0","0","0","0","0","1","0"
"2024-04-20","home","col","sea","0","0","0","0","0","2","0"
"2024-04-16","away","phi","col","0","0","0","0","0","1","0"
"2024-04-21","home","col","sea","0","1","0","0","2","1","1"
"2024-04-21","home","col","sea","1","0","0","0","0","2","0"
"2024-04-14","away","tor","col","0","0","0","0","0","1","1"
