"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-03-30","home","bal","laa","1","1","0","1","1","0","0"
"2024-03-31","home","bal","laa","1","0","0","0","0","1","0"
"2024-04-01","home","bal","kc","0","0","0","0","0","1","1"
"2024-04-02","home","bal","kc","0","0","0","0","0","2","0"
"2024-04-03","home","bal","kc","0","0","0","0","0","0","0"
"2024-04-05","away","pit","bal","0","0","0","0","0","2","0"
"2024-04-06","away","pit","bal","0","0","0","0","0","0","0"
"2024-03-28","home","bal","laa","2","0","0","0","2","1","2"
"2024-04-07","away","pit","bal","0","1","0","0","0","1","0"
"2024-04-13","home","bal","mil","0","0","0","2","1","2","0"
"2024-04-12","home","bal","mil","0","1","0","0","0","2","0"
"2024-04-11","away","bos","bal","0","0","0","0","0","0","0"
"2024-04-10","away","bos","bal","0","0","0","0","0","1","0"
"2024-04-09","away","bos","bal","0","0","0","0","0","0","0"
"2024-04-17","home","bal","min","0","0","0","1","0","1","0"
"2024-04-15","home","bal","min","2","1","0","0","2","2","0"
"2024-04-19","away","kc","bal","1","0","0","0","0","0","0"
"2024-04-20","away","kc","bal","1","0","0","0","0","3","0"
"2024-04-16","home","bal","min","1","0","0","0","0","0","0"
"2024-04-21","away","kc","bal","0","0","0","0","0","0","0"
"2024-04-14","home","bal","mil","2","0","0","0","1","1","0"
