"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-03-30","home","tex","chc","2","0","0","0","0","1","0"
"2024-03-31","home","tex","chc","0","0","0","0","0","1","1"
"2024-04-01","away","tb","tex","0","0","0","1","2","0","2"
"2024-04-02","away","tb","tex","0","0","0","0","0","1","0"
"2024-04-03","away","tb","tex","1","0","0","0","0","1","0"
"2024-04-05","home","tex","hou","1","0","0","0","0","1","2"
"2024-04-06","home","tex","hou","1","0","0","0","0","1","0"
"2024-03-28","home","tex","chc","0","0","0","0","0","2","1"
"2024-04-13","away","hou","tex","2","0","0","0","2","0","2"
"2024-04-12","away","hou","tex","1","1","0","0","1","0","0"
"2024-04-11","home","tex","oak","0","0","0","0","0","2","1"
"2024-04-10","home","tex","oak","2","1","0","0","3","0","1"
"2024-04-09","home","tex","oak","1","1","0","0","1","0","0"
"2024-04-08","home","tex","hou","4","0","0","0","5","0","3"
"2024-04-07","home","tex","hou","0","0","0","0","0","0","0"
"2024-04-17","away","det","tex","1","0","0","0","1","1","1"
"2024-04-18","away","det","tex","1","0","0","1","0","0","0"
"2024-04-19","away","atl","tex","0","0","0","1","0","0","0"
"2024-04-15","away","det","tex","0","0","0","0","0","2","0"
"2024-04-20","away","atl","tex","0","0","0","0","0","1","0"
"2024-04-16","away","det","tex","0","0","0","0","0","1","0"
"2024-04-21","away","atl","tex","0","0","0","0","0","1","0"
