"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-03-28","away","tb","tor","0","0","0","0","0","1","0"
"2024-03-29","away","tb","tor","1","0","0","0","0","3","0"
"2024-03-30","away","tb","tor","0","0","0","0","0","0","0"
"2024-03-31","away","tb","tor","3","0","0","0","2","1","1"
"2024-04-01","away","hou","tor","0","0","0","0","0","2","1"
"2024-04-02","away","hou","tor","1","1","0","0","0","0","0"
"2024-04-03","away","hou","tor","0","0","0","0","0","1","0"
"2024-04-05","away","nyy","tor","0","1","0","0","0","1","0"
"2024-04-06","away","nyy","tor","0","1","0","0","0","1","0"
"2024-04-07","away","nyy","tor","0","0","0","0","0","1","1"
"2024-04-13","home","tor","col","2","0","0","0","4","0","2"
"2024-04-12","home","tor","col","2","0","0","0","1","2","1"
"2024-04-10","home","tor","sea","0","0","0","0","0","0","0"
"2024-04-09","home","tor","sea","0","0","0","0","0","0","0"
"2024-04-08","home","tor","sea","0","0","0","0","0","0","0"
"2024-04-17","home","tor","nyy","1","0","0","0","0","0","1"
"2024-04-19","away","sd","tor","0","0","0","1","0","0","0"
"2024-04-15","home","tor","nyy","0","0","0","0","0","1","2"
"2024-04-20","away","sd","tor","0","1","0","1","2","1","0"
"2024-04-16","home","tor","nyy","1","0","0","0","0","2","1"
"2024-04-21","away","sd","tor","0","0","0","0","0","0","0"
"2024-04-14","home","tor","col","2","0","0","0","1","0","0"
