"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-03-30","away","tex","chc","0","0","0","0","0","1","0"
"2024-03-31","away","tex","chc","1","0","0","1","2","2","1"
"2024-04-01","home","chc","col","1","0","0","0","0","0","1"
"2024-04-02","home","chc","col","0","0","0","1","1","1","1"
"2024-04-03","home","chc","col","0","0","0","0","0","2","0"
"2024-04-05","home","chc","lad","0","0","0","0","0","3","0"
"2024-04-06","home","chc","lad","1","1","0","0","0","3","1"
"2024-03-28","away","tex","chc","0","0","0","0","0","0","0"
"2024-04-07","home","chc","lad","1","1","0","0","3","2","1"
"2024-04-13","away","sea","chc","0","0","0","0","0","2","0"
"2024-04-12","away","sea","chc","0","0","0","0","0","1","1"
"2024-04-10","away","sd","chc","0","0","0","0","0","2","0"
"2024-04-09","away","sd","chc","1","0","0","0","0","2","1"
"2024-04-08","away","sd","chc","0","1","0","0","0","1","0"
"2024-04-17","away","ari","chc","1","0","0","0","0","0","0"
"2024-04-19","home","chc","mia","1","2","0","0","2","1","1"
"2024-04-16","away","ari","chc","1","0","0","0","0","0","0"
"2024-04-15","away","ari","chc","0","0","0","0","0","1","1"
"2024-04-20","home","chc","mia","0","0","0","1","0","2","1"
"2024-04-20","home","chc","mia","0","0","0","0","0","2","0"
"2024-04-21","home","chc","mia","0","1","0","0","0","2","1"
