"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-03-28","home","sd","sf","0","0","0","0","0","2","0"
"2024-03-29","home","sd","sf","0","1","0","0","0","2","0"
"2024-03-30","home","sd","sf","0","0","0","0","0","1","0"
"2024-03-31","home","sd","sf","1","1","0","1","4","1","0"
"2024-04-01","home","sd","stl","0","0","0","0","0","0","0"
"2024-04-02","home","sd","stl","0","0","0","0","0","0","1"
"2024-04-03","home","sd","stl","1","0","0","0","1","1","3"
"2024-04-05","away","sf","sd","1","1","0","0","1","0","0"
"2024-04-06","away","sf","sd","2","0","0","0","3","1","1"
"2024-04-07","away","sf","sd","1","1","0","0","1","0","0"
"2024-04-13","away","lad","sd","0","0","0","0","0","0","0"
"2024-04-12","away","lad","sd","1","0","0","1","1","3","0"
"2024-04-10","home","sd","chc","0","0","0","0","0","0","0"
"2024-04-09","home","sd","chc","0","1","0","0","0","1","0"
"2024-04-08","home","sd","chc","0","0","0","0","0","2","1"
"2024-04-17","away","mil","sd","0","0","0","0","0","2","0"
"2024-04-19","home","sd","tor","0","0","0","0","0","2","1"
"2024-04-16","away","mil","sd","3","0","0","1","3","2","0"
"2024-04-20","home","sd","tor","1","0","0","0","0","2","1"
"2024-04-15","away","mil","sd","0","0","0","0","0","1","0"
"2024-04-21","home","sd","tor","2","0","0","0","1","1","1"
