"Date","HomeAway","HomeTeam","Awayteam","SinglesCount","DoublesCount","TriplesCount","HomeRunsCount","RunsCount","Strikeout","Walks"
"2024-03-28","away","mia","pit","0","1","0","0","0","1","1"
"2024-03-29","away","mia","pit","0","0","0","0","0","1","1"
"2024-03-30","away","mia","pit","1","0","0","0","0","2","0"
"2024-03-31","away","mia","pit","0","0","0","0","0","0","0"
"2024-04-01","away","wsh","pit","1","0","0","0","0","2","1"
"2024-04-03","away","wsh","pit","0","0","0","0","0","1","0"
"2024-04-04","away","wsh","pit","2","1","0","0","4","1","2"
"2024-04-05","home","pit","bal","1","0","0","0","0","1","1"
"2024-04-06","home","pit","bal","0","0","0","0","0","0","0"
"2024-04-07","home","pit","bal","1","0","0","0","0","1","0"
"2024-04-13","away","phi","pit","0","1","0","0","1","1","1"
"2024-04-12","away","phi","pit","0","0","0","0","0","2","0"
"2024-04-11","away","phi","pit","0","0","0","0","0","0","1"
"2024-04-09","home","pit","det","1","0","0","0","0","0","0"
"2024-04-08","home","pit","det","0","0","0","0","0","2","0"
"2024-04-17","away","nym","pit","1","0","0","0","0","0","0"
"2024-04-19","home","pit","bos","0","0","0","0","0","1","1"
"2024-04-15","away","nym","pit","0","0","0","0","0","1","0"
"2024-04-21","home","pit","bos","0","1","0","0","1","0","0"
"2024-04-16","away","nym","pit","0","0","0","0","0","2","1"
"2024-04-20","home","pit","bos","1","0","0","0","0","1","0"
"2024-04-14","away","phi","pit","2","0","0","0","0","2","0"
