ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:TWST,TWST,45.43,1858650,45.7,23.23,18.96,-1.26,46.6,61.26,34.16,26.82,770519.34,1.92,0.84,-8.04,-7.65,6.24,0,-5.35,38197,1.93,delayed_streaming_900,2,ark_previous,08-02-2024-12-43
NASDAQ:BEAM,BEAM,27.42,663697,27.35,85.76,85.07,1.54,27.32,33.99,43.79,76.16,38430.0,1.59,1.59,-2.84,-2.87,1.21,0,-4.29,2841,0.41,delayed_streaming_900,2,ark_previous,08-02-2024-12-43
NASDAQ:CRSP,CRSP,50.86,1306744,50.81,91.1,92.04,1.03,50.88,61.5,36.89,87.11,268107.0,-0.16,-0.59,-4.51,-4.59,3.0,0,-4.04,-16838,1.18,delayed_streaming_900,2,ark_previous,08-02-2024-12-43
NASDAQ:GH,GH,30.71,1212180,30.83,35.58,42.37,1.0,30.87,36.53,40.74,68.79,551178.24,1.33,1.24,-2.08,-2.53,1.28,0,-3.85,-7470,0.54,delayed_streaming_900,2,ark_previous,08-02-2024-12-43
NYSE:TDOC,TDOC,7.94,3249514,7.95,33.31,32.5,-1.43,8.02,10.17,36.52,46.41,125642.79,-0.28,-0.33,-0.79,-0.94,0.99,0,-3.58,29828,0.39,delayed_streaming_900,2,ark_previous,08-02-2024-12-43
NYSE:MGA,MGA,40.93,1452508,40.8,85.42,88.74,-1.16,41.17,46.09,42.97,62.66,84213.58,-0.03,-0.24,-1.87,-2.14,2.36,0,-3.26,11903,0.78,delayed_streaming_900,2,ark_previous,08-02-2024-12-43
NASDAQ:COIN,COIN,207.7,6324614,207.27,73.01,72.61,-0.96,208.69,266.69,32.26,63.94,3238614.32,0.95,-3.11,-4.15,-8.95,1.28,0,-2.54,-92088,0.73,delayed_streaming_900,2,ark_previous,08-02-2024-12-43
NASDAQ:TER,TER,117.9,1032706,118.09,29.67,31.35,1.9,117.63,173.08,36.82,30.01,430153.92,-3.26,-6.82,-4.44,-5.6,0.97,0,-1.54,-9537,0.34,delayed_streaming_900,2,ark_previous,08-02-2024-12-43
NASDAQ:KTOS,KTOS,20.83,357392,20.77,94.26,89.46,1.02,20.77,23.04,39.91,83.37,8332.0,0.43,0.36,-0.91,-1.04,1.28,0,-1.51,675,0.41,delayed_streaming_900,2,ark_previous,08-02-2024-12-43
NASDAQ:NTLA,NTLA,23.74,589631,23.62,88.83,87.68,1.17,23.55,28.3,39.13,89.97,21936.94,0.55,0.34,-1.57,-1.88,1.31,0,-1.04,-7451,0.43,delayed_streaming_900,2,ark_previous,08-02-2024-12-43
NASDAQ:INTU,INTU,621.48,673131,620.92,63.5,60.41,1.73,618.05,665.59,37.83,65.88,1244623.38,2.47,0.1,-11.97,-18.32,1.86,0,-0.87,-14488,0.54,delayed_streaming_900,2,ark_previous,08-02-2024-12-43
NYSE:OKLO,OKLO,8.06,1222435,8.04,52.28,45.18,1.26,8.04,9.58,40.66,68.55,135907.72,-0.1,-0.09,-0.17,-0.2,0.75,0,-0.74,-4006,0.35,delayed_streaming_900,2,ark_previous,08-02-2024-12-43
NASDAQ:IRDM,IRDM,28.26,627967,28.19,61.9,54.29,0.0,28.17,29.54,52.18,72.28,31792.5,0.2,0.47,-0.65,-0.55,0.59,0,-0.42,-4730,0.5,delayed_streaming_900,2,ark_previous,08-02-2024-12-43
NASDAQ:ZM,ZM,57.95,1106895,57.95,77.17,81.34,0.05,57.78,61.29,42.55,42.95,353552.95,0.02,0.1,-1.48,-1.54,1.31,0,-0.24,42345,0.48,delayed_streaming_900,2,ark_previous,08-02-2024-12-43
NASDAQ:AMD,AMD,135.09,45647512,135.33,26.65,31.07,1.77,135.04,193.54,31.41,35.61,29084064.32,-5.36,-7.98,1.55,-1.71,1.35,0,1.19,-445248,0.75,delayed_streaming_900,2,ark_previous,08-02-2024-12-43
NASDAQ:VCYT,VCYT,21.88,221423,21.76,92.46,87.54,1.18,21.66,25.36,39.08,93.02,21895.0,0.43,0.25,-0.66,-0.95,0.66,0,3.21,-2067,0.26,delayed_streaming_900,2,ark_previous,08-02-2024-12-43
NASDAQ:CDNA,CDNA,22.9,606562,22.93,66.67,65.46,0.31,22.95,22.8,60.51,58.26,110387.28,1.29,1.71,-0.84,0.59,1.15,0,4.04,-5037,0.52,delayed_streaming_900,2,ark_previous,08-02-2024-12-43
