ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
AMEX:SOXL,SOXL,28.84,94812386,29.28,30.87,34.67,-17.25,29.63,74.08,34.03,39.88,5497040.26,-3.4,-5.73,-7.62,-10.46,2.36,0,-5.63,-6263949,0.98,delayed_streaming_900,2,trader_live_email,08-02-2024-11-16
NASDAQ:AFRM,AFRM,24.07,2296072,24.27,9.62,20.58,-8.34,24.51,33.22,26.36,24.73,64841.7,-0.83,-1.22,-2.74,-3.51,1.29,0,-4.29,-164805,0.43,delayed_streaming_900,2,trader_live_email,08-02-2024-11-16
NYSE:BA,BA,168.26,4645192,168.97,27.34,29.65,-4.92,170.17,192.0,36.1,30.24,822389.75,0.48,-0.55,-11.26,-12.26,2.36,0,-3.97,-272935,0.64,delayed_streaming_900,2,trader_live_email,08-02-2024-11-16
NASDAQ:PYPL,PYPL,61.5,7600558,61.69,20.8,18.94,-5.99,62.25,64.96,49.37,52.14,1733027.94,-0.01,0.57,-4.1,-4.91,1.35,1,-3.91,-575109,0.47,delayed_streaming_900,2,trader_live_email,08-02-2024-11-16
NASDAQ:TLRY,TLRY,1.85,10354304,1.87,5.5,6.67,-7.0,1.89,2.02,38.75,8.75,46170.16,0.03,0.04,-0.19,-0.18,0.92,0,-3.14,-1168157,0.38,delayed_streaming_900,2,trader_live_email,08-02-2024-11-16
NASDAQ:SOFI,SOFI,6.68,24169104,6.73,9.88,11.21,-6.04,6.79,8.04,38.0,23.88,373690.02,0.15,0.1,-0.5,-0.72,1.36,1,-3.12,-2771853,0.52,delayed_streaming_900,2,trader_live_email,08-02-2024-11-16
NASDAQ:IBIT,IBIT,35.87,14847308,36.33,2.87,2.17,-0.3,36.73,40.45,43.76,3.67,1900803.1,0.3,0.28,0.13,-0.5,1.38,0,-2.87,-2785403,0.5,delayed_streaming_900,2,trader_live_email,08-02-2024-11-16
NASDAQ:CRWD,CRWD,211.68,4052218,213.05,27.85,31.97,-5.24,214.64,430.59,26.94,30.89,1270923.5,-28.51,-38.35,-13.44,-14.77,0.41,0,-2.52,-231651,0.18,delayed_streaming_900,2,trader_live_email,08-02-2024-11-16
NASDAQ:UPST,UPST,23.61,1949884,23.88,7.02,16.91,-6.96,24.03,31.32,34.71,20.6,311801.6,0.6,0.17,-2.25,-2.58,0.91,0,-2.45,-113396,0.38,delayed_streaming_900,2,trader_live_email,08-02-2024-11-16
NYSE:PFE,PFE,30.22,14114119,30.41,5.36,7.63,-1.68,30.77,31.59,53.25,6.78,2021371.45,0.59,0.63,-0.36,0.01,1.32,0,-2.12,-1339310,0.33,delayed_streaming_900,2,trader_live_email,08-02-2024-11-16
NASDAQ:META,META,483.71,10047028,482.86,40.03,34.52,-2.2,486.47,534.72,44.17,64.54,11016921.1,-6.85,-6.23,-16.63,-22.75,1.5,0,-1.08,-577585,0.57,delayed_streaming_900,2,trader_live_email,08-02-2024-11-16
NASDAQ:NVAX,NVAX,11.87,2051278,12.06,11.28,30.58,-6.23,12.06,17.9,39.84,12.83,283224.64,0.26,-0.14,-0.81,-0.58,0.6,0,-0.5,-226628,0.24,delayed_streaming_900,2,trader_live_email,08-02-2024-11-16
