,,,,,,,,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength)
GP,Date,,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
1,2024-10-10,,St. Louis Blues,4,5,L,OT,,29,4,1,2,1,,40,4,0,2,0,,41,69,37.3,26,48,35.1,23,32,41.8,53.1,95.6
2,2024-10-12,,Anaheim Ducks,0,2,L,,,30,12,0,3,0,,30,8,0,5,0,,52,40,56.5,38,34,52.8,22,21,51.2,62.4,91.7
3,2024-10-15,@,Dallas Stars,2,3,L,SO,,27,8,0,3,0,,38,6,0,4,0,,42,65,39.3,32,51,38.6,17,25,40.5,37.5,102.8
4,2024-10-17,@,Chicago Blackhawks,2,4,L,,,22,14,0,3,0,,27,6,2,7,0,,49,49,50.0,32,34,48.5,23,18,56.1,70.2,97.8
5,2024-10-18,@,Winnipeg Jets,3,8,L,,,22,14,1,2,0,,36,4,4,7,0,,38,54,41.3,30,38,44.1,21,21,50.0,31.9,95.8
6,2024-10-20,,Colorado Avalanche,1,4,L,,,26,15,1,5,0,,22,17,1,4,0,,48,37,56.5,29,26,52.7,23,26,46.9,68.8,81.3
7,2024-10-22,@,Anaheim Ducks,1,3,L,,,28,14,1,2,0,,40,6,2,6,0,,65,58,52.8,40,46,46.5,33,22,60.0,51.4,96.9
8,2024-10-24,@,Los Angeles Kings,2,3,L,,,26,11,2,6,0,,30,19,0,2,0,,48,43,52.7,27,34,44.3,23,21,52.3,37.5,88.0
9,2024-10-26,@,Vegas Golden Knights,3,7,L,,,26,8,0,2,0,,42,4,1,4,1,,51,54,48.6,37,42,46.8,20,21,48.8,52.2,96.4
10,2024-10-28,@,Utah Hockey Club,5,4,W,OT,,46,9,1,4,0,,23,13,0,2,0,,60,50,54.5,47,37,56.0,26,34,43.3,60.6,91.5
11,2024-10-29,,Los Angeles Kings,4,2,W,,,21,12,0,4,0,,28,8,0,6,0,,40,53,43.0,28,36,43.8,18,24,42.9,46.1,114.4
12,2024-10-31,,Chicago Blackhawks,3,2,W,,,29,6,1,1,0,,29,2,0,3,0,,47,63,42.7,37,40,48.1,23,12,65.7,46.2,99.7
13,2024-11-02,,Vancouver Canucks,2,3,L,,,23,4,0,2,0,,28,4,0,2,0,,45,62,42.1,34,41,45.3,16,18,47.1,47.4,96.7
14,2024-11-05,,Columbus Blue Jackets,2,1,W,OT,,27,8,0,4,0,,50,10,0,3,0,,45,71,38.8,34,58,37.0,26,17,60.5,44.7,105.7
15,2024-11-07,,Minnesota Wild,2,5,L,,,26,6,0,3,0,,31,6,1,3,0,,38,48,44.2,29,36,44.6,28,17,62.2,45.0,93.9
16,2024-11-10,@,New Jersey Devils,1,0,W,,,27,4,0,3,0,,44,6,0,2,0,,46,70,39.7,31,45,40.8,17,25,40.5,41.2,104.2
17,2024-11-11,@,Philadelphia Flyers,3,4,L,SO,,31,16,0,3,0,,43,16,1,3,0,,36,76,32.1,29,58,33.3,23,26,46.9,37.5,108.6
18,2024-11-14,@,New York Rangers,2,3,L,,,27,4,1,3,0,,35,6,0,1,0,,47,63,42.7,32,49,39.5,19,20,48.7,52.2,94.6
19,2024-11-16,@,Pittsburgh Penguins,3,4,L,SO,,29,2,1,4,0,,36,8,0,1,0,,46,72,39.0,32,47,40.5,28,35,44.4,39.3,98.0
20,2024-11-18,,Detroit Red Wings,5,4,W,OT,,34,6,1,4,0,,20,8,2,3,0,,53,35,60.2,44,24,64.7,28,24,53.8,53.0,100.5
21,2024-11-20,@,Dallas Stars,2,5,L,,,23,8,0,3,1,,31,6,0,4,0,,40,48,45.5,24,32,42.9,20,26,43.5,50.0,82.4
22,2024-11-21,@,St. Louis Blues,2,3,L,SO,,24,2,1,2,0,,31,4,0,1,0,,54,53,50.5,33,38,46.5,28,26,51.9,46.2,98.3
23,2024-11-23,,Buffalo Sabres,2,4,L,,,33,10,0,5,0,,31,16,0,2,1,,49,47,51.0,36,35,50.7,18,36,33.3,45.7,96.7
24,2024-11-25,,Los Angeles Kings,7,2,W,,,21,4,2,6,0,,24,12,0,2,0,,31,51,37.8,27,37,42.2,17,26,39.5,46.4,118.7
25,2024-11-27,,Ottawa Senators,3,4,L,,,39,4,1,2,0,,11,4,1,2,0,,73,27,73.0,51,21,70.8,20,23,46.5,71.4,75.6
26,2024-11-29,,Seattle Kraken,8,5,W,,,27,17,0,1,0,,31,7,2,6,0,,46,50,47.9,32,39,45.1,28,21,57.1,62.1,121.7
27,2024-11-30,@,Seattle Kraken,4,2,W,,,23,4,0,1,0,,38,2,0,2,0,,54,77,41.2,39,58,40.2,26,25,51.0,30.3,113.6
