"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"MTL","BOS","away","2","0","2","0","4","3","2","1","0","6"
"MTL","OTT","home","2","0","2","0","4","0","0","1","0","1"
"MTL","PIT","home","1","2","0","0","3","2","1","3","0","6"
"MTL","LAK","home","1","0","0","0","1","1","1","2","0","4"
"MTL","NYR","home","1","1","0","0","2","4","1","2","0","7"
"MTL","STL","home","1","2","2","0","5","0","2","0","0","2"
"MTL","PHI","away","1","3","0","0","4","1","0","2","0","3"
"MTL","SEA","home","1","0","1","0","2","4","2","2","0","8"
"MTL","WSH","away","0","3","0","0","3","0","3","3","0","6"
"MTL","PIT","away","0","0","1","0","1","1","1","1","0","3"
"MTL","0","home","0","1","1","0","2","1","1","1","0","3"
"MTL","NJD","away","0","2","1","0","3","2","1","2","0","5"
"MTL","TOR","away","0","1","0","0","1","1","3","0","0","4"
"MTL","BUF","away","1","3","3","0","7","1","2","2","0","5"
"MTL","MIN","away","0","0","0","0","0","0","1","2","0","3"
"MTL","CBJ","home","1","1","3","0","5","0","1","0","0","1"
