"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"CBJ","MIN","away","0","1","1","0","2","1","1","1","0","3"
"CBJ","COL","away","2","3","1","0","6","1","2","1","0","4"
"CBJ","FLA","home","0","2","1","0","3","0","3","1","0","4"
"CBJ","BUF","home","2","2","2","0","6","0","3","1","0","4"
"CBJ","MIN","home","0","0","1","0","1","1","0","2","0","3"
"CBJ","TOR","home","3","2","1","0","6","0","1","1","0","2"
"CBJ","EDM","home","3","1","2","0","6","0","0","1","0","1"
"CBJ","NYI","home","0","0","2","0","2","0","0","0","0","0"
"CBJ","WPG","home","1","1","0","0","2","2","2","2","0","6"
"CBJ","WSH","away","0","2","0","0","2","5","1","1","0","7"
"CBJ","LAK","away","1","0","1","0","2","0","2","3","0","5"
"CBJ","ANA","away","1","0","1","0","2","1","1","2","0","4"
"CBJ","SEA","away","2","0","0","0","2","0","4","1","0","5"
"CBJ","PIT","home","2","1","3","0","6","1","1","0","0","2"
"CBJ","MTL","away","0","1","0","0","1","1","1","3","0","5"
