"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"CGY","PHI","home","2","1","3","0","6","0","2","1","0","3"
"CGY","EDM","away","0","1","3","0","4","1","0","0","0","1"
"CGY","CHI","home","1","1","1","0","3","1","0","0","0","1"
"CGY","0","home","1","0","2","0","3","1","2","0","0","3"
"CGY","CAR","home","0","1","1","0","2","1","2","1","0","4"
"CGY","WPG","home","1","1","1","0","3","2","0","3","0","5"
"CGY","VGK","away","0","0","0","0","0","1","1","3","0","5"
"CGY","UTA","away","0","1","0","0","1","2","2","1","0","5"
"CGY","NJD","home","0","0","3","0","3","0","0","0","0","0"
"CGY","EDM","home","0","1","1","0","2","2","0","2","0","4"
"CGY","LAK","home","0","2","1","0","3","0","0","1","0","1"
"CGY","VAN","away","1","0","0","0","1","0","2","1","0","3"
"CGY","NSH","home","0","0","2","0","2","0","0","0","0","0"
