"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"SJS","1","home","2","2","0","0","4","0","3","1","0","4"
"SJS","ANA","home","0","0","0","0","0","0","0","2","0","2"
"SJS","CHI","away","0","1","1","0","2","2","1","1","0","4"
"SJS","WPG","away","1","1","1","0","3","4","1","3","0","8"
"SJS","COL","home","1","0","0","0","1","2","0","2","0","4"
"SJS","ANA","away","0","0","1","0","1","0","1","2","0","3"
"SJS","LAK","away","0","1","1","0","2","3","0","0","0","3"
"SJS","VGK","away","0","2","1","0","3","3","2","2","0","7"
"SJS","LAK","home","0","1","3","0","4","0","1","1","0","2"
"SJS","CHI","home","1","2","0","0","3","2","0","0","0","2"
"SJS","VAN","home","0","1","1","0","2","0","1","2","0","3"
"SJS","0","home","0","1","0","0","1","0","1","0","0","1"
"SJS","MIN","home","0","1","1","0","2","1","2","2","0","5"
"SJS","NJD","away","1","0","0","0","1","0","0","0","0","0"
"SJS","NYR","away","1","0","1","0","2","0","3","0","0","3"
