"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"PHI","CGY","away","0","2","1","0","3","2","1","3","0","6"
"PHI","SEA","away","2","0","2","0","4","1","4","1","0","6"
"PHI","VAN","home","0","0","0","0","0","1","2","0","0","3"
"PHI","WSH","home","0","0","1","0","1","2","0","2","0","4"
"PHI","WSH","away","0","2","1","0","3","1","3","2","0","6"
"PHI","MIN","home","2","1","4","0","7","0","3","2","0","5"
"PHI","MTL","home","1","0","2","0","3","1","3","0","0","4"
"PHI","BOS","away","0","1","1","0","2","0","0","0","0","0"
"PHI","STL","home","1","0","1","0","2","0","0","1","0","1"
"PHI","BOS","home","0","0","0","0","0","1","1","1","0","3"
"PHI","CAR","away","1","1","2","0","4","1","2","3","0","6"
"PHI","0","home","2","1","0","0","3","2","1","0","0","3"
"PHI","BUF","home","2","2","1","0","5","0","0","2","0","2"
