"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"EDM","CHI","home","0","1","1","0","2","1","2","2","0","5"
"EDM","CGY","home","1","0","0","0","1","0","1","3","0","4"
"EDM","2","home","0","2","1","0","3","1","0","0","0","1"
"EDM","NSH","away","1","2","1","0","4","1","1","0","0","2"
"EDM","DAL","away","0","0","1","0","1","0","1","3","0","4"
"EDM","0","home","1","1","0","0","2","0","2","1","0","3"
"EDM","PIT","home","0","2","2","0","4","0","0","0","0","0"
"EDM","CBJ","away","0","0","1","0","1","3","1","2","0","6"
"EDM","NSH","away","2","1","2","0","5","1","0","0","0","1"
"EDM","CGY","away","2","0","2","0","4","0","1","1","0","2"
"EDM","NJD","home","0","0","0","0","0","1","1","1","0","3"
"EDM","VGK","home","0","2","0","0","2","1","0","3","0","4"
"EDM","VAN","away","1","2","4","0","7","0","2","1","0","3"
"EDM","0","home","0","1","2","0","3","1","2","0","0","3"
"EDM","1","home","0","2","0","0","2","0","1","0","0","1"
