"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"VGK","STL","home","2","1","1","0","4","1","1","1","0","3"
"VGK","ANA","home","1","0","2","0","3","1","0","0","0","1"
"VGK","WSH","away","1","1","0","0","2","1","3","0","0","4"
"VGK","TBL","away","2","1","0","0","3","2","0","2","0","4"
"VGK","LAK","home","3","0","3","0","6","0","1","0","0","1"
"VGK","OTT","home","2","1","3","0","6","3","1","0","0","4"
"VGK","SJS","home","3","2","2","0","7","0","2","1","0","3"
"VGK","CGY","home","1","1","3","0","5","0","0","0","0","0"
"VGK","LAK","away","0","1","2","0","3","2","2","2","0","6"
"VGK","1","home","0","2","1","0","3","1","1","0","0","2"
"VGK","EDM","away","1","0","3","0","4","0","2","0","0","2"
"VGK","CAR","home","0","0","2","0","2","2","2","1","0","5"
"VGK","ANA","away","1","1","1","0","3","1","0","1","0","2"
"VGK","UTA","away","0","1","3","0","4","1","1","0","0","2"
