"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"CHI","EDM","away","1","2","2","0","5","0","1","1","0","2"
"CHI","CGY","away","1","0","0","0","1","1","1","1","0","3"
"CHI","SJS","home","2","1","1","0","4","0","1","1","0","2"
"CHI","BUF","home","0","2","0","0","2","2","1","1","0","4"
"CHI","VAN","home","2","0","1","0","3","4","0","2","0","6"
"CHI","NSH","home","1","1","0","0","2","0","2","1","0","3"
"CHI","DAL","away","0","0","2","0","2","1","1","2","0","4"
"CHI","COL","away","3","0","2","0","5","2","0","0","0","2"
"CHI","SJS","away","2","0","0","0","2","1","2","0","0","3"
"CHI","ANA","away","2","1","1","0","4","0","0","2","0","2"
"CHI","DET","home","0","1","0","0","1","1","1","2","0","4"
"CHI","DAL","away","0","0","1","0","1","1","1","1","0","3"
"CHI","0","home","1","0","0","0","1","0","1","0","0","1"
"CHI","SEA","away","0","0","1","0","1","0","1","2","0","3"
"CHI","VAN","away","1","0","0","0","1","0","1","3","0","4"
