"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"NJD","TOR","home","1","1","0","0","2","3","1","0","0","4"
"NJD","WSH","away","2","2","1","0","5","1","1","1","0","3"
"NJD","UTA","home","0","2","1","0","3","0","0","0","0","0"
"NJD","CAR","away","0","1","1","0","2","0","2","2","0","4"
"NJD","OTT","away","0","2","1","0","3","0","0","1","0","1"
"NJD","3","home","1","2","2","0","5","2","0","1","0","3"
"NJD","TBL","home","1","1","3","0","5","1","5","2","0","8"
"NJD","DET","away","1","1","1","0","3","2","0","3","0","5"
"NJD","2","home","1","1","1","0","3","1","0","1","0","2"
"NJD","ANA","home","0","4","2","0","6","1","0","1","0","2"
"NJD","VAN","away","1","3","2","0","6","0","0","0","0","0"
"NJD","CGY","away","0","0","0","0","0","0","0","3","0","3"
"NJD","EDM","away","1","1","1","0","3","0","0","0","0","0"
"NJD","MTL","home","2","1","2","0","5","0","2","1","0","3"
"NJD","SJS","home","0","0","0","0","0","1","0","0","0","1"
"NJD","FLA","away","1","1","2","0","4","0","1","0","0","1"
"NJD","FLA","away","2","2","2","0","6","1","1","0","0","2"
"NJD","TBL","away","0","0","0","0","0","1","0","3","0","4"
