"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"COL","CBJ","home","1","2","1","0","4","2","3","1","0","6"
"COL","NYI","home","1","0","1","0","2","2","2","2","0","6"
"COL","BOS","home","1","1","1","0","3","2","2","1","0","5"
"COL","2","home","0","1","2","0","3","0","1","0","0","1"
"COL","SJS","away","2","0","2","0","4","1","0","0","0","1"
"COL","SEA","away","1","2","0","0","3","0","1","1","0","2"
"COL","UTA","away","2","2","1","0","5","0","0","1","0","1"
"COL","OTT","home","1","1","3","0","5","0","0","4","0","4"
"COL","CHI","home","2","0","0","0","2","3","0","2","0","5"
"COL","TBL","home","1","0","1","0","2","3","1","1","0","5"
"COL","NSH","away","0","1","1","0","2","0","2","3","0","5"
"COL","SEA","home","2","2","2","0","6","1","1","1","0","3"
"COL","WPG","away","0","0","0","0","0","1","0","0","0","1"
"COL","CAR","home","0","5","1","0","6","1","2","1","0","4"
"COL","1","home","0","2","0","0","2","0","1","0","0","1"
"COL","LAK","home","1","1","2","0","4","2","0","0","0","2"
"COL","WSH","home","1","1","0","0","2","2","2","1","0","5"
