"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"ANA","SJS","away","0","0","2","0","2","0","0","0","0","0"
"ANA","VGK","away","1","0","0","0","1","1","0","2","0","3"
"ANA","2","home","1","2","1","0","4","0","2","0","0","2"
"ANA","LAK","home","0","0","1","0","1","0","0","4","0","4"
"ANA","SJS","home","0","1","2","0","3","0","0","1","0","1"
"ANA","NYR","away","0","0","1","0","1","0","0","2","0","2"
"ANA","NJD","away","1","0","1","0","2","0","4","2","0","6"
"ANA","NYI","away","1","1","1","0","3","0","0","1","0","1"
"ANA","CHI","home","0","0","2","0","2","2","1","1","0","4"
"ANA","VAN","home","1","0","0","0","1","2","1","2","0","5"
"ANA","MIN","home","0","0","2","0","2","3","0","2","0","5"
"ANA","CBJ","home","1","1","2","0","4","1","0","1","0","2"
"ANA","VGK","home","1","0","1","0","2","1","1","1","0","3"
"ANA","DET","home","1","1","4","0","6","2","1","1","0","4"
