"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"BOS","MTL","home","3","2","1","0","6","2","0","2","0","4"
"BOS","0","home","0","1","0","0","1","1","0","0","0","1"
"BOS","FLA","home","1","2","0","0","3","2","2","0","0","4"
"BOS","COL","away","2","2","1","0","5","1","1","1","0","3"
"BOS","NSH","away","0","0","0","0","0","1","1","2","0","4"
"BOS","DAL","home","1","1","0","0","2","1","3","1","0","5"
"BOS","0","home","0","3","0","0","3","2","1","0","0","3"
"BOS","PHI","home","0","0","0","0","0","0","1","1","0","2"
"BOS","CAR","away","1","1","0","0","2","4","2","2","0","8"
"BOS","PHI","away","1","1","1","0","3","0","0","0","0","0"
"BOS","SEA","home","2","0","0","0","2","0","0","0","0","0"
"BOS","TOR","away","0","0","0","0","0","0","2","2","0","4"
"BOS","1","home","1","2","0","0","3","0","2","0","0","2"
"BOS","1","home","0","2","0","0","2","1","0","1","0","2"
"BOS","STL","away","0","0","3","0","3","0","2","0","0","2"
"BOS","DAL","away","1","0","1","0","2","2","3","2","0","7"
"BOS","1","home","2","0","0","0","2","0","1","1","0","2"
