"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"STL","VGK","away","1","1","1","0","3","2","1","1","0","4"
"STL","MIN","home","0","0","1","0","1","1","1","2","0","4"
"STL","0","home","0","0","0","0","0","0","0","0","0","0"
"STL","CAR","home","0","3","1","0","4","1","0","2","0","3"
"STL","WPG","home","1","0","1","0","2","0","3","0","0","3"
"STL","TOR","away","2","1","2","0","5","0","1","0","0","1"
"STL","MTL","away","0","2","0","0","2","1","2","2","0","5"
"STL","OTT","away","0","0","1","0","1","3","3","2","0","8"
"STL","PHI","away","0","0","1","0","1","1","0","1","0","2"
"STL","TOR","home","0","3","1","0","4","1","0","1","0","2"
"STL","TBL","home","0","2","1","0","3","0","1","1","0","2"
"STL","UTA","home","1","0","1","0","2","1","1","2","0","4"
"STL","WSH","home","1","0","0","0","1","1","2","5","0","8"
"STL","BOS","home","0","2","0","0","2","0","0","3","0","3"
