"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"MIN","CBJ","home","1","1","1","0","3","0","1","1","0","2"
"MIN","0","home","1","1","2","0","4","2","2","1","0","5"
"MIN","STL","away","1","1","2","0","4","0","0","1","0","1"
"MIN","CBJ","away","1","0","2","0","3","0","0","1","0","1"
"MIN","FLA","away","2","3","0","0","5","0","1","0","0","1"
"MIN","TBL","away","1","1","2","0","4","0","2","0","0","2"
"MIN","PHI","away","0","3","2","0","5","2","1","4","0","7"
"MIN","PIT","away","2","2","1","0","5","2","0","1","0","3"
"MIN","TBL","home","0","1","4","0","5","1","0","2","0","3"
"MIN","1","home","1","0","0","0","1","0","0","0","0","0"
"MIN","LAK","home","0","1","0","0","1","0","2","3","0","5"
"MIN","SJS","away","1","2","2","0","5","0","1","1","0","2"
"MIN","ANA","away","3","0","2","0","5","0","0","2","0","2"
"MIN","MTL","home","0","1","2","0","3","0","0","0","0","0"
"MIN","DAL","home","0","0","1","0","1","1","0","1","0","2"
