"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"NYR","1","home","1","3","1","0","5","4","0","1","0","5"
"NYR","DET","home","1","1","2","0","4","1","0","0","0","1"
"NYR","DET","away","2","3","0","0","5","0","1","1","0","2"
"NYR","TOR","away","1","1","2","0","4","0","0","1","0","1"
"NYR","MTL","away","4","1","2","0","7","1","1","0","0","2"
"NYR","FLA","home","1","0","0","0","1","2","1","0","0","3"
"NYR","ANA","home","0","0","2","0","2","0","0","1","0","1"
"NYR","WSH","away","1","2","0","0","3","3","1","1","0","5"
"NYR","OTT","home","1","0","1","0","2","0","0","1","0","1"
"NYR","NYI","home","1","2","2","0","5","0","2","0","0","2"
"NYR","BUF","home","0","0","1","0","1","1","4","1","0","6"
"NYR","DET","away","1","2","1","0","4","0","0","0","0","0"
"NYR","WPG","home","1","1","1","0","3","1","2","3","0","6"
"NYR","SJS","home","0","3","0","0","3","1","0","1","0","2"
