"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"SEA","DAL","away","0","0","0","0","0","2","0","0","0","2"
"SEA","NSH","away","3","0","4","0","7","2","1","0","0","3"
"SEA","PHI","home","1","4","1","0","6","2","0","2","0","4"
"SEA","1","home","0","1","0","0","1","0","0","0","0","0"
"SEA","COL","home","0","1","1","0","2","1","2","0","0","3"
"SEA","0","home","1","0","2","0","3","2","1","1","0","4"
"SEA","CAR","home","0","0","1","0","1","1","1","2","0","4"
"SEA","MTL","away","4","2","2","0","8","1","0","1","0","2"
"SEA","TOR","away","0","0","1","0","1","1","2","1","0","4"
"SEA","OTT","away","0","0","0","0","0","1","1","1","0","3"
"SEA","BOS","away","0","0","0","0","0","2","0","0","0","2"
"SEA","COL","away","1","1","1","0","3","2","2","2","0","6"
"SEA","2","home","1","1","1","0","3","0","1","0","0","1"
"SEA","CBJ","home","0","4","1","0","5","2","0","0","0","2"
"SEA","CHI","home","0","1","2","0","3","0","0","1","0","1"
"SEA","NYI","home","1","0","2","0","3","1","0","1","0","2"
