"Team","Opp","Location","P1TG","P2TG","P3TG","OTTG","TGG","P1OG","P2OG","P3OG","OTOG","TOG"
"BUF","LAK","home","0","1","0","0","1","0","0","3","0","3"
"BUF","FLA","home","2","2","1","0","5","1","1","0","0","2"
"BUF","CBJ","away","0","3","1","0","4","2","2","2","0","6"
"BUF","CHI","away","2","1","1","0","4","0","2","0","0","2"
"BUF","DAL","home","0","2","2","0","4","0","0","2","0","2"
"BUF","DET","home","2","2","1","0","5","1","2","0","0","3"
"BUF","FLA","home","0","2","0","0","2","2","1","2","0","5"
"BUF","NYI","home","1","0","2","0","3","1","2","1","0","4"
"BUF","DET","away","1","0","0","0","1","0","2","0","0","2"
"BUF","OTT","home","1","1","3","0","5","0","1","0","0","1"
"BUF","NYR","away","1","4","1","0","6","0","0","1","0","1"
"BUF","0","home","2","0","0","0","2","1","1","0","0","2"
"BUF","MTL","home","1","2","2","0","5","1","3","3","0","7"
"BUF","1","home","2","0","1","0","3","2","0","0","0","2"
"BUF","PHI","away","0","0","2","0","2","2","2","1","0","5"
