game_id,team_id,team,opponent,home_away,player_id,sweater_number,name,position,goals,assists,points,plus_minus,pim,hits,power_play_goals,shots_on_goal,faceoff_pct,time_on_ice,blocked_shots,shifts,giveaways,takeaways
2022020009,55,SEA,ANA,away,8477444,95,A. Burakovsky,L,1,0,1,-2,0,0,1,5,0.0,17:25,0,22,0,0
2022020020,55,SEA,LAK,away,8477444,95,A. Burakovsky,L,0,1,1,0,0,0,0,2,0.0,16:37,0,20,0,0
2022020037,55,SEA,VGK,home,8477444,95,A. Burakovsky,L,0,2,2,0,0,1,0,2,0.0,14:35,0,20,0,1
2022020047,55,SEA,CAR,home,8477444,95,A. Burakovsky,L,1,0,1,-1,2,2,1,1,0.0,13:01,0,17,1,1
2022020058,55,SEA,STL,home,8477444,95,A. Burakovsky,L,0,0,0,2,0,0,0,3,0.0,16:30,0,20,2,0
2022020073,55,SEA,COL,away,8477444,95,A. Burakovsky,L,0,0,0,-2,0,1,0,5,0.0,19:08,0,21,0,2
2022020087,55,SEA,CHI,away,8477444,95,A. Burakovsky,L,1,0,1,-1,2,0,0,2,0.0,19:20,0,24,0,1
2022020105,55,SEA,BUF,home,8477444,95,A. Burakovsky,L,0,1,1,-1,0,0,0,2,0.0,14:28,0,15,0,1
2022020118,55,SEA,VAN,home,8477444,95,A. Burakovsky,L,0,1,1,-1,0,0,0,2,0.0,19:55,0,24,1,0
2022020138,55,SEA,PIT,home,8477444,95,A. Burakovsky,L,0,0,0,0,0,1,0,2,0.0,17:18,0,22,0,1
2022020155,55,SEA,CGY,away,8477444,95,A. Burakovsky,L,0,1,1,0,0,0,0,4,0.0,15:39,0,19,0,1
2022020167,55,SEA,MIN,away,8477444,95,A. Burakovsky,L,0,1,1,1,2,0,0,2,0.0,15:00,0,19,0,1
2022020183,55,SEA,PIT,away,8477444,95,A. Burakovsky,L,0,0,0,-1,0,0,0,4,0.0,17:09,0,18,0,4
2022020205,55,SEA,NSH,home,8477444,95,A. Burakovsky,L,1,2,3,2,0,0,0,3,0.0,17:22,0,20,0,0
2022020224,55,SEA,MIN,home,8477444,95,A. Burakovsky,L,0,0,0,0,2,1,0,0,0.0,20:41,1,23,0,0
2022020243,55,SEA,WPG,home,8477444,95,A. Burakovsky,L,0,1,1,-1,0,1,0,2,0.0,18:39,1,22,2,0
2022020271,55,SEA,NYR,home,8477444,95,A. Burakovsky,L,0,1,1,1,0,0,0,2,0.0,18:01,1,21,1,1
2022020286,55,SEA,LAK,home,8477444,95,A. Burakovsky,L,0,0,0,-1,0,0,0,4,0.0,19:28,1,24,1,3
2022020316,55,SEA,SJS,home,8477444,95,A. Burakovsky,L,1,2,3,0,0,0,1,4,0.0,17:19,0,22,0,1
2022020329,55,SEA,VGK,away,8477444,95,A. Burakovsky,L,2,0,2,2,0,0,0,4,0.0,19:13,0,26,2,1
2022020343,55,SEA,ANA,away,8477444,95,A. Burakovsky,L,0,1,1,1,0,0,0,1,0.0,15:31,0,22,0,1
2022020360,55,SEA,LAK,away,8477444,95,A. Burakovsky,L,2,0,2,-2,2,0,1,4,0.0,19:42,0,24,0,0
2023020003,55,SEA,VGK,away,8477444,95,A. Burakovsky,L,0,0,0,-2,0,0,0,2,0.0,16:27,1,22,1,0
2023020015,55,SEA,NSH,away,8477444,95,A. Burakovsky,L,0,0,0,0,0,0,0,3,0.0,17:55,0,20,0,1
2023020028,55,SEA,STL,away,8477444,95,A. Burakovsky,L,0,0,0,0,0,0,0,1,0.0,17:55,0,20,0,0
2023020046,55,SEA,COL,home,8477444,95,A. Burakovsky,L,0,0,0,-2,0,0,0,3,0.0,16:54,1,19,0,0
2023020060,55,SEA,CAR,home,8477444,95,A. Burakovsky,L,0,2,2,1,0,1,0,3,0.0,17:47,1,24,0,0
2023020078,55,SEA,NYR,home,8477444,95,A. Burakovsky,L,0,0,0,1,0,0,0,2,0.0,06:05,0,9,1,0
2023020403,55,SEA,NJD,home,8477444,95,A. Burakovsky,L,0,1,1,0,0,0,0,1,0.0,09:08,0,15,0,0
2023020554,55,SEA,PHI,home,8477444,95,A. Burakovsky,L,0,0,0,0,0,0,0,1,0.0,14:33,1,19,0,0
2023020573,55,SEA,VGK,home,8477444,95,A. Burakovsky,L,0,0,0,1,0,1,0,0,0.0,11:16,0,14,0,1
2023020598,55,SEA,OTT,home,8477444,95,A. Burakovsky,L,1,0,1,0,0,0,0,2,0.0,10:57,0,16,0,0
2023020625,55,SEA,BUF,away,8477444,95,A. Burakovsky,L,0,1,1,0,2,0,0,0,0.0,13:03,0,16,0,0
2023020645,55,SEA,WSH,away,8477444,95,A. Burakovsky,L,0,0,0,0,0,1,0,0,0.0,13:34,1,17,0,1
2023020658,55,SEA,CBJ,away,8477444,95,A. Burakovsky,L,0,0,0,0,0,0,0,0,0.0,01:40,0,4,0,0
2023020698,55,SEA,EDM,away,8477444,95,A. Burakovsky,L,0,0,0,-1,0,1,0,0,0.0,14:16,0,18,1,1
2023020723,55,SEA,TOR,home,8477444,95,A. Burakovsky,L,0,0,0,0,0,0,0,1,0.0,14:44,0,20,0,1
2023020743,55,SEA,CHI,home,8477444,95,A. Burakovsky,L,0,1,1,2,2,0,0,2,0.0,14:30,0,19,0,0
2023020758,55,SEA,STL,home,8477444,95,A. Burakovsky,L,0,0,0,-1,0,0,0,1,1.0,15:37,0,18,0,0
2023020774,55,SEA,CBJ,home,8477444,95,A. Burakovsky,L,0,0,0,-1,0,0,0,1,0.0,11:59,0,17,0,0
2023020777,55,SEA,SJS,away,8477444,95,A. Burakovsky,L,0,0,0,-1,0,0,0,3,0.0,13:07,0,18,0,0
2023020813,55,SEA,PHI,away,8477444,95,A. Burakovsky,L,0,0,0,0,0,1,0,2,0.0,15:30,1,18,0,0
2023020819,55,SEA,NJD,away,8477444,95,A. Burakovsky,L,0,0,0,0,0,1,0,1,0.0,16:20,0,21,0,1
2023020829,55,SEA,NYI,away,8477444,95,A. Burakovsky,L,0,0,0,0,4,0,0,1,0.0,16:20,1,20,1,0
2023020837,55,SEA,BOS,away,8477444,95,A. Burakovsky,L,0,0,0,-1,0,1,0,1,0.0,14:59,1,20,0,0
2023020870,55,SEA,DET,home,8477444,95,A. Burakovsky,L,0,1,1,0,0,1,0,3,0.0,16:35,1,23,0,2
2023020897,55,SEA,VAN,home,8477444,95,A. Burakovsky,L,0,1,1,0,0,0,0,0,0.0,14:02,1,21,0,0
2023020913,55,SEA,MIN,home,8477444,95,A. Burakovsky,L,0,0,0,0,0,0,0,5,0.0,17:24,0,18,0,2
2023020926,55,SEA,BOS,home,8477444,95,A. Burakovsky,L,0,1,1,0,0,0,0,2,0.0,18:15,1,20,1,1
2023020980,55,SEA,CGY,away,8477444,95,A. Burakovsky,L,0,0,0,0,0,0,0,1,0.0,13:32,0,17,0,0
2023020986,55,SEA,WPG,away,8477444,95,A. Burakovsky,L,1,0,1,0,0,1,1,2,0.0,13:44,0,17,0,1
2023021008,55,SEA,WPG,home,8477444,95,A. Burakovsky,L,0,0,0,0,0,0,0,2,0.0,16:20,0,23,0,1
2023021040,55,SEA,VGK,home,8477444,95,A. Burakovsky,L,1,0,1,0,0,0,0,3,0.0,12:50,1,18,1,1
2023021056,55,SEA,WSH,home,8477444,95,A. Burakovsky,L,0,0,0,-1,2,0,0,3,0.0,12:38,0,19,2,1
2023021071,55,SEA,NSH,home,8477444,95,A. Burakovsky,L,1,0,1,-1,0,1,1,3,0.0,12:50,0,17,0,1
2023021081,55,SEA,BUF,home,8477444,95,A. Burakovsky,L,0,0,0,-2,0,1,0,4,0.0,17:18,0,21,0,1
2023021107,55,SEA,VGK,away,8477444,95,A. Burakovsky,L,0,0,0,0,0,1,0,1,0.0,12:53,1,19,0,0
2023021112,55,SEA,ARI,away,8477444,95,A. Burakovsky,L,0,0,0,0,0,0,0,0,0.0,18:00,0,25,1,2
2023021133,55,SEA,MTL,home,8477444,95,A. Burakovsky,L,0,0,0,-2,2,1,0,6,0.0,12:27,0,18,0,0
2023021146,55,SEA,ANA,home,8477444,95,A. Burakovsky,L,0,0,0,0,0,0,0,3,0.0,16:51,0,18,0,0
2023021162,55,SEA,ANA,home,8477444,95,A. Burakovsky,L,1,1,2,-1,2,0,1,2,0.0,14:23,0,21,0,0
