ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:GH,GH,29.79,1038102,29.74,40.96,31.86,-1.72,30.39,35.92,48.69,45.3,96070.6,0.65,0.08,-1.07,-0.32,0.5,0,-3.22,-12492,0.31,delayed_streaming_900,2,ark_previous,08-13-2024-15-07
NASDAQ:IRDM,IRDM,26.64,319920,26.7,2.96,13.79,-0.62,26.84,29.36,36.69,16.09,9324.0,0.13,-0.01,-0.24,-0.35,0.84,0,-1.04,-4038,0.41,delayed_streaming_900,2,ark_previous,08-13-2024-15-07
NASDAQ:KTOS,KTOS,19.74,335060,19.73,42.0,49.78,-0.61,19.73,23.4,48.66,33.17,72091.96,-0.05,-0.34,0.02,0.09,0.64,0,-0.53,-11982,0.35,delayed_streaming_900,2,ark_previous,08-13-2024-15-07
NASDAQ:CDNA,CDNA,27.28,515518,27.28,17.48,18.69,-1.16,27.4,28.7,61.64,28.3,42194.42,2.31,2.86,0.0,0.22,0.53,0,0.48,-2116,0.33,delayed_streaming_900,2,ark_previous,08-13-2024-15-07
NASDAQ:BEAM,BEAM,24.28,273550,24.26,71.17,78.63,0.02,24.2,34.01,45.89,39.01,19424.0,0.35,-0.45,0.24,0.36,0.39,0,1.0,-5555,0.27,delayed_streaming_900,2,ark_previous,08-13-2024-15-07
NASDAQ:ZM,ZM,56.36,1203321,56.26,90.33,88.8,0.14,56.13,61.79,33.37,74.52,193111.45,-0.53,-0.83,0.31,1.06,0.69,0,1.57,-19416,0.46,delayed_streaming_900,2,ark_previous,08-13-2024-15-07
NASDAQ:INTU,INTU,645.79,525085,645.65,68.77,73.58,-0.19,641.49,657.89,45.34,47.89,516632.0,-2.08,-1.64,3.08,16.84,0.82,0,1.75,-2820,0.43,delayed_streaming_900,2,ark_previous,08-13-2024-15-07
NASDAQ:AMD,AMD,140.74,32285530,140.67,81.48,80.92,0.75,139.83,159.53,51.69,40.14,6983733.5,-7.51,-7.03,0.68,4.06,0.64,0,1.9,-319375,0.47,delayed_streaming_900,2,ark_previous,08-13-2024-15-07
NASDAQ:NTLA,NTLA,22.55,764800,22.49,86.74,91.2,-0.44,22.29,28.6,47.58,49.69,22978.45,-0.33,-0.75,0.59,0.99,1.14,0,1.99,-38525,0.59,delayed_streaming_900,2,ark_previous,08-13-2024-15-07
NASDAQ:CRSP,CRSP,48.25,629749,48.21,72.72,77.53,0.33,47.77,62.32,48.38,34.89,14475.0,-1.77,-2.57,0.93,1.62,0.65,0,2.44,-8285,0.42,delayed_streaming_900,2,ark_previous,08-13-2024-15-07
NYSE:TDOC,TDOC,7.06,4336258,7.05,84.62,82.84,-0.21,7.05,10.62,32.04,91.46,63316.53,-0.58,-0.74,0.1,0.2,0.79,0,2.54,-26289,0.45,delayed_streaming_900,2,ark_previous,08-13-2024-15-07
NASDAQ:COIN,COIN,198.18,3465548,198.45,20.85,23.57,-0.27,196.98,273.32,50.7,35.13,683970.24,-8.33,-11.47,2.44,5.36,0.62,0,2.61,-23668,0.42,delayed_streaming_900,2,ark_previous,08-13-2024-15-07
NASDAQ:TWST,TWST,44.61,233790,44.48,67.74,70.04,0.75,44.1,63.16,50.11,34.3,40149.0,-0.84,-2.14,1.08,1.83,0.21,0,2.69,-2404,0.17,delayed_streaming_900,2,ark_previous,08-13-2024-15-07
NASDAQ:TER,TER,127.15,566433,127.02,81.34,83.0,0.68,125.31,157.17,52.03,47.27,218127.68,-6.65,-6.66,2.7,4.98,0.47,0,2.84,-8826,0.22,delayed_streaming_900,2,ark_previous,08-13-2024-15-07
NYSE:OKLO,OKLO,7.45,1750090,7.44,59.52,57.79,0.2,7.36,9.67,46.76,38.18,43306.1,-0.28,-0.39,0.29,0.38,0.93,0,3.33,-9677,0.54,delayed_streaming_900,2,ark_previous,08-13-2024-15-07
NYSE:MGA,MGA,39.59,1904361,39.48,99.39,99.19,1.58,38.77,47.03,41.49,97.83,156815.99,-0.95,-1.34,1.12,1.38,1.17,0,3.91,-9220,0.69,delayed_streaming_900,2,ark_previous,08-13-2024-15-07
NASDAQ:VCYT,VCYT,32.71,1160209,32.63,63.09,71.68,2.69,31.76,31.09,65.69,53.24,191570.16,0.96,1.89,1.82,3.32,1.37,0,7.46,-19937,0.74,delayed_streaming_900,2,ark_previous,08-13-2024-15-07
