ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5
NASDAQ:CXAI,CXAI,2.9989,111434449,2.8792450082011807,71.30650953984288,79.56754850088184,102.70270270270271,2.786020818565643,2.6626967326261632,63.51975867369305,70.30570098656729,295653.0,-0.1066166060405345,-0.056350755771554795,1.615,1.27,724.7392728194744,0,23.411522633744845,-6222055,96.59759040113316,delayed_streaming_900,2
NASDAQ:HA,HA,13.86,4678765,13.44624191226297,100.0,98.32915622389307,-1.3523131672597954,12.525862709524638,14.533458848778825,68.8330526949386,90.81064168051225,35550.9,-0.07166875869377795,0.1064602403032282,-0.5850000000000009,-0.21499999999999986,8.35271125028468,0,12.637139374238112,-53820,3.184957071375076,delayed_streaming_900,2
NASDAQ:GNLN,GNLN,10.03,4494675,10.026602697033203,47.73686679174483,36.413648641273475,-12.880765883376855,10.320104776831553,8.511260483114047,46.69791077951224,60.066653597767655,3483.48,0.04133066225393395,0.8622788094704745,1.5999999999999996,1.9406999999999996,2.5697337966701754,0,11.444444444444438,-46970,0.9056416518616658,delayed_streaming_900,2
NASDAQ:SYRS,SYRS,2.0201,3633566,2.017977024801944,70.34523809523809,67.24206349206347,-59.46215139442231,1.950291337901609,7.487707657248351,26.954109124532184,77.96442194506463,2956.855,-0.11508457713455528,-0.4278523023982501,-2.95,-2.955,58.79486245387432,0,9.194594594594578,-62717,14.148529802294096,delayed_streaming_900,2
NYSE:PLTR,PLTR,30.5003,30243231,30.544737747187696,48.98974818353751,49.15397631133688,3.8487738419618496,30.439008612575808,30.826874592583213,59.59345290731193,32.85021910960407,932445.1799999999,0.4278890930945707,0.749659625451887,0.7800999999999974,0.9598999999999975,1.0339688242233478,0,2.3888252928123777,-1240033,0.454979587176222,delayed_streaming_900,2
NASDAQ:NVDA,NVDA,114.705,139127537,114.5701370720198,78.89546351084823,82.03681788297176,5.066274688054432,113.63381402759231,125.61247354745464,53.544917170658024,36.58775776518806,26826036.3,-3.9262148594265818,-3.6593115045500753,4.860100000000003,5.420000000000002,0.7464708354397941,0,2.014407684098186,-5040715,0.32004944035898514,delayed_streaming_900,2
NASDAQ:SBUX,SBUX,92.5602,98154772,93.15740126586627,7.01961061029071,13.187691569189177,20.116807268007786,93.48398182755999,84.31213648086732,64.43803320624446,12.988272686583812,12190315.799999999,-0.15872589377328622,1.1281936568909998,15.840000000000003,14.780000000000001,25.149786648746762,0,1.6921555702043494,-1048221,7.880960265544055,delayed_streaming_900,2
NYSE:ONON,ONON,41.995,9427743,41.64188264370995,91.98036052537903,88.56693895852663,6.117290192113232,40.44251659313177,42.11638356414338,58.461832487535524,86.02347654332264,1203692.5399999998,0.026221306003535373,0.22847727225769177,1.9249999999999972,1.4155999999999977,5.002922205181605,0,1.1196725258848934,-169944,1.8670352650156314,delayed_streaming_900,2
NYSE:OXY,OXY,57.705,9657980,57.66631183101215,78.73015873015832,78.63112921936403,-2.1532722956934487,57.45302443099584,64.03337686894969,49.87773403446051,57.61510768057446,408817.64,-0.9774534206744186,-1.052688408446528,-1.1099999999999994,-0.990000000000002,2.396022168518879,0,-0.3023496890117558,-170848,0.9899230584860628,delayed_streaming_900,2
NASDAQ:CORZ,CORZ,8.468,17178439,8.491959756227915,26.51900625758857,19.02913083920848,-10.513470681457994,8.563719364281589,11.314580146325007,54.38956597835113,39.5040989498231,629677.7757000001,0.08902866209756737,-0.06012763825011369,-1.2050999999999998,-1.3200999999999983,4.2391180068230305,0,-0.9590643274853887,-750579,1.7717479311235689,delayed_streaming_900,2
NYSE:CMG,CMG,49.805,58056941,49.68996796156947,88.5522840974328,92.96996322693836,-10.855967078189298,49.24013104865298,56.40539206670981,49.984262690892656,65.2851038364314,4988537.6476,-1.7139546425475136,-1.345377477659163,-6.1573999999999955,-6.167400000000001,11.862203919736542,0,-1.9393581413664096,-1941112,3.898564391168181,delayed_streaming_900,2
NYSE:TME,TME,11.105,23628531,11.092731751080438,67.67676767676748,78.00356506238853,-15.492957746478874,11.113260869572946,15.661854733028907,42.31922733084818,48.784584622063235,49561.5,-0.3464084499901385,-0.548343053475671,-2.0649999999999995,-1.955,8.528600347673592,0,-2.2447183098591466,-948810,3.203705709879159,delayed_streaming_900,2
