ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
AMEX:BOIL,BOIL,10.37,4369836,10.46,7.21,9.97,-2.03,10.66,11.63,56.42,18.11,521872.88,-1.34,-0.95,-0.29,-0.22,0.67,0,-4.42,-209575,0.31,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
AMEX:NVDQ,NVDQ,5.88,5865467,5.87,19.48,15.26,-9.95,5.97,8.13,45.68,61.77,250229.28,0.14,0.09,-0.54,-0.63,0.51,1,-3.92,-314751,0.33,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
AMEX:UNG,UNG,14.3,2352845,14.38,4.6,7.88,-0.76,14.62,15.02,55.43,15.19,209623.7,-0.78,-0.53,-0.12,-0.08,0.89,0,-3.05,-100109,0.37,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
NASDAQ:VCNX,VCNX,4.66,5376,4.67,65.53,62.9,2.42,4.67,8.79,51.41,79.71,466.0,-0.37,-0.56,0.05,0.15,0.07,0,-2.71,-785,0.02,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
AMEX:LABD,LABD,6.35,4707704,6.34,40.0,32.44,-2.38,6.36,7.15,52.3,83.03,723203.1,-0.14,-0.04,-0.07,-0.25,0.54,0,-1.63,-500026,0.23,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
AMEX:QID,QID,41.44,3037921,41.49,6.1,4.54,-3.43,41.74,46.63,50.45,14.62,705506.86,1.19,1.21,-1.44,-1.53,0.52,1,-1.5,-108846,0.28,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
AMEX:SPXS,SPXS,8.1,15607328,8.12,11.57,9.19,-2.93,8.15,9.12,54.85,42.34,1863893.78,0.16,0.18,-0.23,-0.26,0.57,1,-1.28,-796720,0.22,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
AMEX:SPXU,SPXU,29.75,3439068,29.79,8.04,6.64,-2.93,29.93,33.47,54.95,39.13,727393.49,0.57,0.66,-0.88,-0.98,0.47,0,-1.2,-124965,0.25,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
AMEX:UVXY,UVXY,28.68,2970097,28.68,66.23,68.18,-4.25,28.5,49.87,54.36,51.29,695895.32,3.27,2.74,-0.43,0.68,0.41,0,-0.62,-87020,0.17,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
AMEX:UVIX,UVIX,5.99,5155537,5.99,68.77,70.71,-5.96,5.94,13.93,54.13,55.72,456499.53,0.86,0.56,-0.13,0.18,0.5,0,-0.5,-124469,0.22,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
AMEX:SPDN,SPDN,11.99,2373995,12.0,14.05,9.58,-0.99,12.01,12.47,55.78,22.67,661014.21,0.09,0.11,-0.12,-0.13,0.69,0,-0.41,-180174,0.3,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
AMEX:VXX,VXX,53.16,2072376,53.15,66.14,68.15,-3.12,52.89,76.18,56.22,52.15,852048.48,4.38,4.11,-0.53,0.79,0.33,0,-0.34,-43299,0.15,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
AMEX:TWM,TWM,10.75,1292816,10.76,12.02,11.81,-1.47,10.78,11.45,54.35,60.59,423302.75,-0.08,0.09,-0.15,-0.15,0.46,0,-0.09,-74814,0.18,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
AMEX:TZA,TZA,17.11,9115802,17.12,13.74,12.31,-2.0,17.17,18.7,53.35,55.21,1907867.66,-0.24,0.16,-0.35,-0.35,0.49,0,-0.06,-259353,0.26,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
AMEX:YANG,YANG,8.99,1582329,8.99,45.45,44.14,-0.55,8.97,10.03,42.28,35.82,350250.4,0.29,0.23,0.04,-0.03,0.51,0,0.0,-81890,0.23,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
NYSE:BBVA,BBVA,9.83,401525,9.83,77.6,82.92,0.87,9.81,11.53,55.39,26.01,40971.44,-0.14,-0.22,0.06,0.08,0.28,0,0.51,-63724,0.16,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
NASDAQ:ERIC,ERIC,6.8,6543873,6.79,80.56,83.89,1.42,6.78,6.9,49.62,75.33,1278712.8,0.11,0.1,0.08,0.05,0.66,0,0.74,-1913126,0.28,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
AMEX:SCO,SCO,16.54,795938,16.49,89.39,85.47,2.19,16.38,18.52,34.32,91.21,133891.3,0.35,0.23,0.23,-0.03,0.87,0,1.53,-38076,0.37,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
NASDAQ:GRPN,GRPN,12.84,701263,12.78,70.53,72.1,6.02,12.58,20.21,50.18,61.89,26383.53,-0.88,-1.18,1.24,1.38,1.04,0,5.93,-18233,0.33,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-13-2024-11-49
