ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:AFRM,AFRM,25.44,145448,25.23,44.86,54.4,1.23,25.5,31.56,47.19,42.93,1280140.8,-1.28,-1.34,0.47,0.0,1.54,0,-0.63,-421192,0.02,delayed_streaming_900,2,trader_live_email,08-13-2024-09-46
NASDAQ:TLRY,TLRY,1.78,182651,1.78,17.83,28.17,-0.38,1.79,2.01,54.31,34.36,72935.69,0.01,-0.01,-0.02,-0.01,0.27,0,-0.53,-397973,0.01,delayed_streaming_900,2,trader_live_email,08-13-2024-09-46
NYSE:BA,BA,164.0,95766,164.14,30.11,23.52,0.09,164.13,194.81,41.03,62.48,9233713.8,-2.99,-4.73,-1.15,-3.93,1.89,0,-0.3,-289635,0.01,delayed_streaming_900,2,trader_live_email,08-13-2024-09-46
NASDAQ:UPST,UPST,35.14,353520,34.55,46.3,42.54,2.6,35.14,36.37,61.6,7.85,3443544.3,1.21,2.19,0.97,-1.09,1.98,0,-0.24,-321388,0.03,delayed_streaming_900,2,trader_live_email,08-13-2024-09-46
NYSE:PFE,PFE,28.49,583115,28.45,68.89,67.8,0.29,28.5,31.44,40.52,63.17,10941527.52,0.24,-0.06,-0.07,-0.06,3.09,0,-0.21,-2048482,0.01,delayed_streaming_900,2,trader_live_email,08-13-2024-09-46
NASDAQ:PYPL,PYPL,63.91,180674,63.63,46.84,29.71,0.38,63.92,66.72,49.06,7.48,7495406.1,0.63,0.93,-0.52,-0.82,1.18,0,-0.14,-616915,0.01,delayed_streaming_900,2,trader_live_email,08-13-2024-09-46
NASDAQ:META,META,519.6,426007,516.0,69.57,53.99,1.09,519.26,523.52,60.89,83.52,98946821.34,-0.62,5.06,7.42,1.85,2.51,0,-0.08,-264741,0.02,delayed_streaming_900,2,trader_live_email,08-13-2024-09-46
AMEX:SOXL,SOXL,32.64,10092717,31.54,93.44,77.41,4.54,32.65,56.06,49.15,86.8,21325281.68,-6.13,-6.47,1.0,1.7,1.37,0,-0.06,-3329507,0.07,delayed_streaming_900,2,trader_live_email,08-13-2024-09-46
NASDAQ:NVDA,NVDA,112.38,19062753,109.85,52.01,33.92,2.57,112.32,125.42,52.27,30.25,392539810.07,-3.96,-3.85,3.17,7.69,2.13,0,-0.06,-9092320,0.04,delayed_streaming_900,2,trader_live_email,08-13-2024-09-46
NASDAQ:AMD,AMD,138.04,1120501,136.83,62.13,41.93,1.05,137.93,159.45,49.96,75.19,51302837.11,-7.55,-7.24,2.12,3.69,1.66,0,-0.06,-1161169,0.02,delayed_streaming_900,2,trader_live_email,08-13-2024-09-46
AMEX:NVDY,NVDY,24.33,121420,23.99,45.0,26.75,1.54,24.34,28.24,52.62,14.74,338955.47,-1.19,-1.22,0.44,1.2,1.01,0,-0.0,-5791,0.06,delayed_streaming_900,2,trader_live_email,08-13-2024-09-46
AMEX:YANG,YANG,8.99,158193,9.03,46.54,69.29,0.21,8.99,10.03,40.91,38.48,174522.87,0.29,0.23,-0.03,-0.28,0.88,0,0.0,-112132,0.02,delayed_streaming_900,2,trader_live_email,08-13-2024-09-46
NASDAQ:MHUA,MHUA,0.66,10780,0.66,34.26,46.6,-0.14,0.66,1.19,34.22,31.84,66.0,-0.03,-0.07,-0.02,-0.01,0.0,0,0.0,-12912,0.0,delayed_streaming_900,2,trader_live_email,08-13-2024-09-46
NASDAQ:IMNN,IMNN,1.07,8338,1.08,27.17,34.03,-1.91,1.07,2.27,51.18,66.57,4365.6,-0.02,-0.07,-0.02,-0.0,1.01,0,0.0,-3038,0.0,delayed_streaming_900,2,trader_live_email,08-13-2024-09-46
NYSE:MA,MA,458.28,39541,455.9,66.24,40.42,0.52,458.35,467.64,41.63,82.41,16398174.96,1.71,2.88,2.23,1.51,3.71,0,0.03,-53458,0.01,delayed_streaming_900,2,trader_live_email,08-13-2024-09-46
AMEX:SOXS,SOXS,28.25,3881027,29.25,8.29,23.98,-4.3,28.23,36.4,47.61,14.87,5911623.25,2.04,2.0,-0.86,-1.53,1.02,0,0.04,-1678644,0.06,delayed_streaming_900,2,trader_live_email,08-13-2024-09-46
NASDAQ:IBIT,IBIT,33.59,798329,33.63,68.84,68.26,-0.64,33.57,40.67,48.55,48.16,6220910.3,-0.51,-0.77,-0.42,-1.02,1.24,0,0.06,-895606,0.02,delayed_streaming_900,2,trader_live_email,08-13-2024-09-46
