,,,,,,,,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength)
GP,Date,,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
1,2024-10-11,@,Vancouver Canucks,3,2,W,SO,,31,10,1,4,0,,26,8,0,5,0,,37,51,42.0,27,34,44.3,21,28,42.9,58.7,93.0
2,2024-10-12,@,Calgary Flames,3,6,L,,,40,27,1,4,1,,32,15,2,5,0,,57,45,55.9,44,33,57.1,25,22,53.2,61.4,87.9
3,2024-10-15,@,Edmonton Oilers,3,4,L,OT,,30,18,2,7,0,,31,24,0,4,0,,33,52,38.8,28,37,43.1,22,25,46.8,28.6,89.6
4,2024-10-17,@,Seattle Kraken,4,6,L,,,25,19,1,4,0,,29,17,1,5,0,,51,50,50.5,35,34,50.7,28,17,62.2,50.0,90.5
5,2024-10-19,,Vancouver Canucks,0,3,L,,,26,6,0,3,0,,32,8,0,2,0,,47,52,47.5,38,41,48.1,25,24,51.0,36.1,90.3
6,2024-10-22,,Washington Capitals,1,4,L,,,18,17,0,3,0,,29,13,0,5,2,,37,40,48.1,22,31,41.5,15,19,44.1,56.5,96.7
7,2024-10-23,@,Washington Capitals,3,6,L,,,29,8,2,4,0,,25,10,0,3,0,,50,42,54.3,30,35,46.2,34,22,60.7,51.7,74.2
8,2024-10-26,,Minnesota Wild,7,5,W,,,23,10,1,2,0,,26,6,1,4,0,,45,46,49.5,33,27,55.0,26,22,54.2,37.8,100.6
9,2024-10-27,,Montreal Canadiens,3,4,L,,,26,4,0,3,0,,24,6,1,2,0,,61,40,60.4,39,30,56.5,33,17,66.0,66.3,99.3
10,2024-10-29,@,Boston Bruins,2,0,W,,,19,10,0,2,0,,25,6,0,4,0,,41,52,44.1,29,29,50.0,26,12,68.4,32.0,111.8
11,2024-10-31,,St. Louis Blues,2,1,W,,,21,4,0,3,0,,21,6,0,2,0,,40,56,41.7,26,33,44.1,20,14,58.8,40.7,105.9
12,2024-11-02,,Boston Bruins,0,3,L,,,20,12,0,3,0,,31,14,0,2,0,,41,52,44.1,24,36,40.0,18,17,51.4,54.5,87.5
13,2024-11-05,@,Carolina Hurricanes,4,6,L,,,16,4,1,3,0,,35,6,0,2,0,,33,75,30.6,24,57,29.6,26,21,55.3,26.1,101.4
14,2024-11-07,@,Tampa Bay Lightning,2,1,W,SO,,31,4,0,2,0,,23,4,0,2,0,,47,53,47.0,35,38,47.9,19,14,57.6,45.2,99.3
15,2024-11-09,@,Florida Panthers,3,4,L,SO,,37,6,0,2,0,,31,6,0,2,0,,48,62,43.6,40,48,45.5,24,29,45.3,49.1,98.7
16,2024-11-11,,San Jose Sharks,4,3,W,SO,,43,16,1,3,0,,31,16,0,3,0,,76,36,67.9,58,29,66.7,26,23,53.1,62.5,91.4
17,2024-11-14,@,Ottawa Senators,5,4,W,OT,,19,12,0,2,0,,37,4,2,6,0,,35,67,34.3,21,41,33.9,16,28,36.4,40.5,120.9
18,2024-11-16,,Buffalo Sabres,5,2,W,,,32,10,1,5,0,,25,12,1,4,0,,42,61,40.8,31,37,45.6,32,32,50.0,40.5,112.5
19,2024-11-18,,Colorado Avalanche,2,3,L,,,26,12,0,3,0,,29,10,1,4,0,,49,62,44.1,33,37,47.1,31,21,59.6,42.5,101.0
20,2024-11-20,,Carolina Hurricanes,1,4,L,,,19,2,0,3,0,,37,6,0,1,0,,28,79,26.2,22,59,27.2,21,26,44.7,49.5,96.6
21,2024-11-23,,Chicago Blackhawks,3,2,W,OT,,37,2,1,3,0,,21,6,0,1,0,,64,47,57.7,44,29,60.3,33,19,63.5,64.9,94.8
22,2024-11-25,,Vegas Golden Knights,4,5,L,SO,,36,2,0,3,0,,30,6,1,1,0,,60,50,54.5,46,35,56.8,29,25,53.7,58.6,102.2
23,2024-11-27,@,Nashville Predators,3,2,W,OT,,23,6,0,1,0,,27,6,0,1,0,,45,77,36.9,33,47,41.3,18,26,40.9,36.4,104.3
24,2024-11-29,,New York Rangers,3,1,W,,,35,0,0,1,0,,23,2,0,0,0,,58,53,52.3,46,32,59.0,28,24,53.8,58.1,104.5
25,2024-11-30,@,St. Louis Blues,3,2,W,OT,,31,6,0,2,0,,27,4,1,3,0,,52,48,52.0,42,34,55.3,27,17,61.4,60.3,105.6
26,2024-12-05,,Florida Panthers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
