,,,,,,,,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength)
GP,Date,,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
1,2024-10-09,@,Montreal Canadiens,0,1,L,,,48,10,0,4,0,,27,8,1,5,0,,91,32,74.0,70,21,76.9,14,7,66.7,69.2,100.0
2,2024-10-10,@,New Jersey Devils,4,2,W,,,22,10,0,2,0,,23,4,1,5,0,,40,53,43.0,27,31,46.6,19,23,45.2,39.3,113.8
3,2024-10-12,,Pittsburgh Penguins,4,2,W,,,33,8,0,3,0,,23,6,1,4,0,,40,45,47.1,32,28,53.3,18,19,48.6,40.9,108.9
4,2024-10-16,,Los Angeles Kings,6,2,W,,,26,8,2,4,0,,34,8,0,4,0,,27,60,31.0,20,45,30.8,27,22,55.1,32.4,116.9
5,2024-10-19,,New York Rangers,1,4,L,,,35,4,0,3,0,,29,6,0,2,0,,67,46,59.3,44,37,54.3,21,19,52.5,52.0,88.1
6,2024-10-21,,Tampa Bay Lightning,5,2,W,,,29,17,1,4,0,,34,13,1,6,0,,52,41,55.9,38,28,57.6,12,19,38.7,27.8,114.0
7,2024-10-22,@,Columbus Blue Jackets,2,6,L,,,28,12,0,3,0,,38,10,0,4,0,,49,57,46.2,33,45,42.3,27,30,47.4,49.8,88.8
8,2024-10-24,,St. Louis Blues,1,5,L,,,41,6,0,4,0,,27,10,1,2,0,,68,37,64.8,46,30,60.5,32,17,65.3,63.6,87.3
9,2024-10-26,@,Boston Bruins,3,4,L,OT,,23,12,0,3,0,,34,8,1,5,0,,52,50,51.0,34,36,48.6,29,12,70.7,43.4,104.3
10,2024-10-28,@,Winnipeg Jets,6,4,W,,,36,8,0,2,0,,23,4,2,4,0,,48,38,55.8,38,24,61.3,30,13,69.8,55.6,107.5
11,2024-10-31,,Seattle Kraken,4,1,W,,,30,6,0,2,0,,25,4,0,3,0,,55,44,55.6,34,32,51.5,26,22,54.2,73.9,110.8
12,2024-11-02,@,St. Louis Blues,2,4,L,,,37,20,0,4,0,,24,20,0,4,0,,58,37,61.1,43,26,62.3,24,13,64.9,47.6,87.0
13,2024-11-03,@,Minnesota Wild,1,2,L,OT,,28,8,1,2,0,,33,6,0,3,0,,39,64,37.9,29,42,40.8,18,20,47.4,49.7,93.3
14,2024-11-05,,Boston Bruins,4,0,W,,,27,14,3,7,0,,29,16,0,6,0,,35,37,48.6,27,26,50.9,20,20,50.0,51.7,105.3
15,2024-11-08,,Detroit Red Wings,3,1,W,,,20,6,2,2,0,,22,4,1,3,0,,45,44,50.6,28,28,50.0,21,21,50.0,48.3,106.3
16,2024-11-09,,Montreal Canadiens,4,1,W,,,27,6,2,4,1,,21,10,1,2,0,,31,50,38.3,26,31,45.6,29,22,56.9,46.7,105.9
17,2024-11-12,,Ottawa Senators,0,3,L,,,27,8,0,4,0,,41,10,0,3,0,,41,62,39.8,28,49,36.4,31,25,55.4,45.3,91.9
18,2024-11-13,@,Washington Capitals,4,3,W,OT,,34,2,1,2,0,,27,4,0,1,0,,61,53,53.5,43,42,50.6,24,26,48.0,52.6,96.6
19,2024-11-16,,Edmonton Oilers,4,3,W,OT,,22,17,0,4,0,,30,8,1,2,0,,40,61,39.6,25,36,41.0,15,18,45.5,35.0,117.3
20,2024-11-20,,Vegas Golden Knights,3,0,W,,,26,12,1,2,0,,31,10,0,3,0,,44,59,42.7,32,34,48.5,17,22,43.6,42.9,110.5
21,2024-11-24,,Utah Hockey Club,3,2,W,,,35,4,1,6,0,,26,12,1,2,0,,50,48,51.0,39,38,50.6,25,24,51.0,42.4,102.7
22,2024-11-27,@,Florida Panthers,1,5,L,,,24,10,1,3,0,,24,6,2,5,1,,38,35,52.1,24,24,50.0,27,20,57.4,40.6,87.5
23,2024-11-30,@,Tampa Bay Lightning,5,3,W,,,29,6,0,1,0,,41,2,1,3,0,,45,58,43.7,31,45,40.8,30,32,48.4,42.2,110.6
24,2024-12-02,,Chicago Blackhawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
