ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:TWST,TWST,42.46,421642,42.34,74.74,62.87,-1.36,42.63,62.88,37.01,73.32,33952.0,-1.14,-2.37,-1.66,-1.92,0.57,0,-5.98,-82835,0.32,delayed_streaming_900,2,ark_previous,08-14-2024-14-13
NASDAQ:NTLA,NTLA,21.7,800215,21.6,94.19,88.77,-0.6,21.94,28.3,44.52,91.42,30380.0,-0.43,-0.82,-0.82,-0.64,1.37,0,-4.84,-17369,0.59,delayed_streaming_900,2,ark_previous,08-14-2024-14-13
NASDAQ:CRSP,CRSP,46.24,1278812,46.1,88.13,81.6,-0.13,46.32,61.54,38.84,86.48,105010.2,-1.96,-2.71,-1.61,-1.73,1.63,0,-4.67,-9916,0.86,delayed_streaming_900,2,ark_previous,08-14-2024-14-13
NASDAQ:COIN,COIN,193.78,3438787,193.96,52.88,47.15,-1.16,195.19,270.21,45.34,61.24,507292.48,-8.95,-11.42,-3.63,-5.39,0.69,0,-3.54,-26958,0.42,delayed_streaming_900,2,ark_previous,08-14-2024-14-13
NASDAQ:BEAM,BEAM,23.61,276512,23.49,99.4,84.85,-0.42,23.64,34.1,40.2,88.61,19454.64,0.16,-0.61,-0.49,-0.62,0.56,0,-3.04,-12830,0.28,delayed_streaming_900,2,ark_previous,08-14-2024-14-13
NYSE:TDOC,TDOC,6.78,2470458,6.79,20.0,27.78,-1.02,6.86,10.48,25.26,16.62,9390.3,-0.62,-0.77,-0.3,-0.26,0.49,0,-3.0,47236,0.26,delayed_streaming_900,2,ark_previous,08-14-2024-14-13
NASDAQ:VCYT,VCYT,31.64,574822,31.31,69.89,37.56,-0.11,31.54,32.03,63.1,89.95,25316.0,1.19,2.12,-0.89,-0.34,0.56,0,-2.78,8351,0.34,delayed_streaming_900,2,ark_previous,08-14-2024-14-13
NASDAQ:AMD,AMD,139.81,26394757,139.66,90.64,83.0,-0.17,139.75,156.58,46.94,79.23,14273944.16,-7.27,-6.36,-0.62,-0.85,0.59,0,-2.23,-143281,0.4,delayed_streaming_900,2,ark_previous,08-14-2024-14-13
NASDAQ:GH,GH,29.14,820664,29.09,41.88,29.76,-0.51,29.25,35.98,45.29,74.57,112820.49,0.5,-0.11,-0.63,-0.8,0.48,0,-2.07,-50931,0.26,delayed_streaming_900,2,ark_previous,08-14-2024-14-13
NASDAQ:TER,TER,124.91,382654,124.98,40.28,36.26,-1.08,125.18,153.93,49.85,42.23,62455.0,-6.55,-6.17,-1.51,-1.63,0.39,0,-2.05,-3401,0.15,delayed_streaming_900,2,ark_previous,08-14-2024-14-13
NASDAQ:KTOS,KTOS,19.81,1039470,19.79,56.69,33.17,-1.34,20.14,23.37,47.37,71.05,3962.0,-0.11,-0.37,0.07,0.05,4.54,0,-0.7,-7889,1.12,delayed_streaming_900,2,ark_previous,08-14-2024-14-13
NYSE:MGA,MGA,39.75,454790,39.7,92.07,90.52,0.15,39.66,46.5,43.37,89.92,107802.0,-1.01,-1.27,0.1,0.76,0.29,0,-0.35,-3625,0.16,delayed_streaming_900,2,ark_previous,08-14-2024-14-13
NASDAQ:ZM,ZM,56.8,665219,56.69,96.88,83.68,0.21,56.58,61.68,44.2,86.36,51120.0,-0.57,-0.76,0.38,0.6,0.41,0,0.69,6897,0.25,delayed_streaming_900,2,ark_previous,08-14-2024-14-13
NASDAQ:IRDM,IRDM,26.94,1099352,26.81,91.9,86.98,-0.15,26.76,29.36,42.62,88.92,231835.04,0.1,-0.02,0.35,0.12,4.61,0,1.18,-3995,1.42,delayed_streaming_900,2,ark_previous,08-14-2024-14-13
NASDAQ:CDNA,CDNA,27.9,468256,27.74,95.08,88.14,0.65,27.49,29.56,61.79,71.48,54414.75,2.45,2.96,0.71,0.39,0.6,0,1.27,106546,0.3,delayed_streaming_900,2,ark_previous,08-14-2024-14-13
NASDAQ:INTU,INTU,635.72,726562,635.68,23.82,16.52,-0.19,633.13,653.68,49.24,41.31,762858.0,-1.87,-1.01,-9.02,-10.05,1.72,0,1.35,534,0.59,delayed_streaming_900,2,ark_previous,08-14-2024-14-13
NYSE:OKLO,OKLO,7.83,2374649,7.83,62.12,55.07,-1.69,7.71,9.61,48.95,48.29,75308.94,-0.3,-0.36,0.38,0.35,1.53,0,6.53,13920,0.73,delayed_streaming_900,2,ark_previous,08-14-2024-14-13
