ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:RIOT,RIOT,7.58,8320124,7.65,5.18,7.84,-2.19,7.73,12.83,34.77,17.64,544483.83,-0.49,-0.75,-0.25,-0.16,0.82,0,-4.59,-704001,0.43,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-12-49
NASDAQ:ALXO,ALXO,2.61,1017396,2.64,10.74,7.28,1.56,2.63,7.85,47.03,28.69,7571.61,-1.19,-1.26,0.03,0.09,0.75,0,-2.97,-7869,0.3,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-12-49
NASDAQ:INTC,INTC,20.03,29632496,20.09,18.52,36.68,0.75,20.04,38.37,40.51,22.84,4956028.51,-2.72,-3.43,-0.32,-0.14,0.53,0,-2.2,-958229,0.26,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-12-49
NASDAQ:SOUN,SOUN,4.97,15565305,5.02,11.64,28.44,-1.5,5.03,5.38,48.05,23.42,773393.6,0.03,0.05,-0.11,-0.22,0.89,0,-1.58,-742033,0.51,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-12-49
NASDAQ:AMZN,AMZN,169.53,13661577,169.93,10.48,17.76,-0.39,170.46,193.36,45.27,9.88,19845907.5,-5.35,-5.76,-0.58,0.82,0.48,0,-1.5,-499161,0.23,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-12-49
NASDAQ:PARA,PARA,10.26,3214950,10.27,12.65,9.51,0.27,10.25,12.05,30.57,4.68,370513.56,-0.19,-0.29,0.01,0.0,0.77,0,-0.34,-92440,0.3,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-12-49
