ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:RIOT,RIOT,7.75,6897366,7.73,77.38,69.43,0.13,7.75,12.81,37.15,87.81,408625.36,-0.49,-0.73,-0.12,0.09,0.75,0,-2.51,22685,0.35,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-12-13
NASDAQ:INTC,INTC,20.13,26751076,20.09,76.59,82.75,0.42,20.03,38.37,41.36,38.87,3393536.55,-2.72,-3.42,-0.12,0.1,0.54,0,-1.73,-785254,0.24,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-12-13
NASDAQ:AMZN,AMZN,170.57,11884523,170.26,94.04,86.96,-0.21,170.52,193.35,47.68,75.63,19211108.8,-5.33,-5.68,0.67,2.73,0.47,0,-0.89,-3612,0.2,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-12-13
NASDAQ:PARA,PARA,10.28,2703406,10.29,48.33,58.02,0.64,10.25,12.05,31.25,31.58,780837.2,-0.19,-0.28,-0.06,0.02,0.73,0,-0.15,65777,0.25,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-12-13
NASDAQ:ALXO,ALXO,2.7,976722,2.68,96.69,94.18,4.65,2.63,7.84,50.62,80.09,2322.0,-1.19,-1.25,0.12,0.16,0.82,0,0.37,-5155,0.29,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-12-13
NASDAQ:SOUN,SOUN,5.08,13696149,5.06,94.06,94.35,0.42,5.03,5.39,50.19,71.89,171160.44,0.03,0.05,-0.12,-0.14,0.88,0,0.57,-611795,0.45,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-12-13
