ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:AMD,AMD,139.8,26795986,139.66,71.94,77.86,-0.54,139.75,156.58,46.92,36.32,9965390.86,-7.27,-6.36,-1.36,-0.85,0.59,0,-2.24,-179019,0.41,delayed_streaming_900,2,turttle_email,08-14-2024-14-22
AMEX:BOIL,BOIL,10.46,9112768,10.55,7.57,6.6,-2.47,10.75,11.67,54.32,6.37,595680.18,-1.24,-0.86,0.18,0.21,0.92,0,-2.2,-123170,0.68,delayed_streaming_900,2,turttle_email,08-14-2024-14-22
NASDAQ:AFRM,AFRM,26.37,2551391,26.42,56.32,70.61,-0.55,26.36,30.58,46.39,45.82,945723.0,-1.25,-1.15,0.11,0.37,0.65,0,-1.45,16572,0.43,delayed_streaming_900,2,turttle_email,08-14-2024-14-22
NASDAQ:ASML,ASML,877.96,611901,879.08,21.0,30.26,-0.95,879.46,947.26,46.59,21.85,263460.0,-38.54,-33.5,8.01,10.29,0.47,0,-1.08,-1666,0.32,delayed_streaming_900,2,turttle_email,08-14-2024-14-22
AMEX:EWJ,EWJ,67.54,3699263,67.54,46.58,60.81,-0.13,67.43,72.29,62.61,31.78,661843.0,-0.85,-0.82,-0.05,0.33,0.47,0,0.04,79801,0.3,delayed_streaming_900,2,turttle_email,08-14-2024-14-22
AMEX:FXY,FXY,62.81,64688,62.83,4.76,1.59,-0.22,62.9,65.0,52.46,1.02,102631.54,1.1,1.15,-0.15,-0.14,0.21,1,0.05,1134,0.15,delayed_streaming_900,2,turttle_email,08-14-2024-14-22
AMEX:DRIP,DRIP,10.68,1192948,10.68,65.16,47.39,-0.28,10.74,11.86,48.02,78.99,161374.8,0.33,0.33,-0.09,-0.1,0.78,0,0.19,-4692,0.57,delayed_streaming_900,2,turttle_email,08-14-2024-14-22
NASDAQ:MSFT,MSFT,415.92,8746283,416.32,35.4,53.64,-0.37,415.62,447.94,47.12,12.54,4231986.0,-9.43,-8.99,1.96,1.92,0.51,0,0.27,-85566,0.33,delayed_streaming_900,2,turttle_email,08-14-2024-14-22
AMEX:KOLD,KOLD,65.21,924604,64.55,94.08,93.98,2.71,63.3,81.45,42.19,96.19,282425.51,3.69,1.81,-1.2,-1.39,1.25,0,2.53,-29602,0.96,delayed_streaming_900,2,turttle_email,08-14-2024-14-22
NASDAQ:NNE,NNE,7.56,3944296,7.8,14.09,22.62,-12.03,7.97,19.56,36.48,8.24,58719.53,-2.39,-2.87,0.92,0.82,4.72,0,10.44,62666,3.41,delayed_streaming_900,2,turttle_email,08-14-2024-14-22
