ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:GRPN,GRPN,12.41,344341,12.38,39.27,28.29,-2.49,12.48,19.86,47.17,80.7,363985.3,-0.93,-1.1,-0.29,-0.05,0.66,0,-4.46,32299,0.17,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
AMEX:UVIX,UVIX,4.97,6516369,5.07,4.35,10.77,-10.95,5.11,13.94,42.02,29.63,2268258.69,0.73,0.23,-0.98,-0.87,0.87,0,-3.49,-172300,0.28,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
AMEX:UVXY,UVXY,25.05,3661525,25.39,4.21,9.69,-7.94,25.54,49.79,43.46,27.76,1431507.3,2.94,1.73,-3.45,-3.06,0.72,0,-2.45,-284672,0.22,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
AMEX:VXX,VXX,48.63,1895307,49.09,4.57,11.25,-5.2,49.32,75.97,44.45,26.51,2708269.62,4.06,2.92,-4.28,-3.79,0.4,0,-1.72,-153423,0.14,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
NYSE:BBVA,BBVA,9.9,346373,9.9,83.33,76.06,-0.2,9.89,11.49,56.36,72.47,243793.01,-0.15,-0.21,0.05,0.1,0.53,0,-0.05,-3578,0.14,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
AMEX:SPDN,SPDN,11.92,1145760,11.93,42.23,61.79,-0.13,11.93,12.46,49.92,25.74,146794.8,0.09,0.08,-0.04,-0.1,0.47,0,0.17,-107086,0.15,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
NASDAQ:ERIC,ERIC,6.88,4699729,6.87,86.67,73.33,-0.29,6.86,6.94,56.06,91.36,748138.08,0.11,0.11,-0.0,0.12,0.64,0,0.22,-440790,0.21,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
AMEX:SPXS,SPXS,7.96,13191433,7.98,36.21,56.11,-0.56,7.97,9.09,48.53,29.53,3470822.18,0.15,0.13,-0.11,-0.21,0.64,0,0.44,-1090690,0.19,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
AMEX:SPXU,SPXU,29.18,2594162,29.27,34.83,56.64,-0.56,29.23,33.36,48.88,29.1,1474786.38,0.54,0.46,-0.4,-0.79,0.47,0,0.46,-246089,0.19,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
AMEX:QID,QID,41.0,2777316,41.17,48.55,66.23,-0.05,41.02,46.5,47.19,25.97,1811216.0,1.13,0.95,-0.22,-0.69,0.58,0,0.89,-133499,0.26,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
AMEX:SCO,SCO,16.69,484683,16.62,79.69,76.17,0.6,16.6,18.45,39.33,50.05,199030.6,0.32,0.19,0.16,0.27,0.61,0,1.21,-135440,0.23,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
AMEX:BOIL,BOIL,10.9,5319619,10.84,87.14,89.16,6.23,10.8,11.72,60.2,66.4,1729751.1,-1.24,-0.82,0.65,0.18,1.25,0,1.92,-242969,0.39,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
NASDAQ:VCNX,VCNX,4.76,2450,4.77,77.39,73.29,2.15,4.79,8.73,49.49,85.45,1961.12,-0.4,-0.55,0.14,0.21,0.03,0,1.93,460,0.01,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
AMEX:UNG,UNG,15.04,3137234,14.96,88.34,91.33,5.1,14.89,15.19,61.66,71.97,1545582.96,-0.7,-0.41,0.82,0.42,1.73,0,2.07,-80229,0.5,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
AMEX:TWM,TWM,10.74,1033743,10.71,86.71,89.02,1.03,10.66,11.49,53.35,50.81,333366.5,-0.05,0.09,0.07,-0.07,0.51,0,2.58,-93011,0.15,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
AMEX:NVDQ,NVDQ,5.59,6632746,5.7,21.42,45.34,-2.78,5.73,8.2,44.58,17.81,643101.55,0.11,-0.03,-0.29,-0.37,0.78,0,2.76,211263,0.39,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
AMEX:YANG,YANG,9.38,1765295,9.35,87.24,90.68,5.39,9.3,10.02,47.1,42.37,756778.24,0.27,0.22,0.4,0.4,0.77,0,3.19,-168857,0.27,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
AMEX:TZA,TZA,17.05,7768341,17.0,83.21,87.06,1.31,16.86,18.78,52.3,45.26,2582370.24,-0.17,0.15,0.14,-0.2,0.48,0,3.52,-511686,0.23,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
AMEX:LABD,LABD,6.44,4435954,6.43,75.58,82.28,1.02,6.4,7.17,51.91,36.06,704516.68,-0.12,-0.05,0.14,0.06,0.66,-1,3.7,-180421,0.22,delayed_streaming_900,2,premarket_losers_marketchameleon_news,08-14-2024-11-10
