ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
NASDAQ:ALXO,ALXO,2.58,822976,2.6,15.28,17.36,0.0,2.62,7.85,46.03,28.64,19136.22,-1.19,-1.26,0.05,0.09,1.08,0,-3.9,1878,0.25,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-10-58
NASDAQ:RIOT,RIOT,7.72,4388444,7.73,20.51,22.33,-1.4,7.77,12.82,36.38,36.36,530185.59,-0.49,-0.74,-0.03,0.04,0.7,0,-2.83,-78330,0.23,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-10-58
NASDAQ:INTC,INTC,19.94,17192488,19.94,16.28,11.21,-1.97,20.03,38.38,39.65,55.04,6044391.68,-2.72,-3.44,-0.24,0.03,0.52,1,-2.66,-211914,0.15,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-10-58
NASDAQ:SOUN,SOUN,4.92,9174269,5.01,3.74,16.98,-2.66,5.05,5.37,46.69,13.2,2543133.81,0.03,0.04,-0.26,-0.39,0.86,0,-2.54,-105698,0.3,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-10-58
NASDAQ:AMZN,AMZN,169.63,8485272,169.95,11.68,10.74,-0.41,170.69,193.36,45.5,37.35,21658179.34,-5.34,-5.75,0.93,1.39,0.49,0,-1.44,17732,0.14,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-10-58
NASDAQ:PARA,PARA,10.24,1498787,10.23,45.99,37.96,-0.63,10.22,12.05,30.04,64.54,93040.64,-0.19,-0.29,-0.02,-0.01,0.68,0,-0.53,-21971,0.14,delayed_streaming_900,2,premarket_gainers_marketchameleon_news,08-14-2024-10-58
