ticker,name,close,volume,EMA10|5,Stoch.K|5,Stoch.D|5,ROC|15,VWAP|5,BB.upper,UO,RSI3[1]|5,Value.Traded|5,MACD.signal,MACD.macd,Mom|30,Mom_14|30,relative_volume_intraday|5,Rec.Stoch.RSI|15,change_from_open,volume_change_abs|15,relative_volume_10d_calc,update_mode|5,indicators_bars_count|5,brokername,date
AMEX:UVIX,UVIX,4.8,8810518,4.88,6.77,11.9,-10.79,5.03,13.95,41.79,9.8,887219.75,0.73,0.22,-1.01,-1.2,0.88,0,-6.89,385109,0.38,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
NASDAQ:TSLT,TSLT,12.0,2672861,11.96,92.47,88.87,-5.44,12.02,19.82,53.87,64.34,166373.24,-0.78,-1.13,-0.65,-0.39,0.86,0,-5.06,-41818,0.47,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
NASDAQ:TSLL,TSLL,8.78,27432715,8.75,93.54,88.98,-5.41,8.8,14.44,54.53,62.83,1467971.27,-0.56,-0.82,-0.47,-0.28,1.12,0,-5.03,-177743,0.65,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
AMEX:UVXY,UVXY,24.41,4684425,24.72,4.28,9.9,-7.92,25.34,49.8,43.14,8.94,1901441.36,2.93,1.68,-3.67,-4.28,0.67,0,-4.95,92435,0.28,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
NASDAQ:CONL,CONL,32.45,1506265,32.24,70.04,66.17,-1.22,32.09,63.4,46.8,48.48,321319.9,-4.23,-5.11,-0.96,0.28,0.64,0,-4.22,7883,0.43,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
AMEX:BITX,BITX,27.83,4613853,27.56,49.98,34.42,-4.19,27.82,42.62,55.51,62.04,2245059.91,-1.9,-2.21,-1.68,0.05,1.12,0,-3.84,90794,0.57,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
AMEX:YINN,YINN,20.27,1459144,20.21,95.92,84.88,-4.58,20.36,22.71,51.98,87.94,56952.24,-0.91,-0.74,-1.01,-0.82,0.84,0,-2.55,-9697,0.43,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
NASDAQ:TSLA,TSLA,202.21,35387702,202.01,90.91,86.91,-2.71,202.67,254.19,54.65,59.12,47020310.84,-3.55,-6.27,-5.23,-3.03,1.0,0,-2.5,-100922,0.48,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
AMEX:FAZ,FAZ,9.38,2085576,9.41,8.89,7.71,-2.7,9.49,10.57,48.29,2.14,103742.8,-0.07,-0.04,-0.38,-0.41,0.63,0,-2.29,49990,0.28,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
AMEX:TNA,TNA,37.51,11029731,37.26,95.86,92.22,-0.78,37.3,51.7,48.28,92.58,4573969.4,-0.35,-1.21,0.1,0.66,0.74,0,-1.83,283031,0.41,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
AMEX:URTY,URTY,44.25,1037748,43.92,98.04,94.68,-0.85,44.02,60.91,48.8,92.16,200756.4,-0.4,-1.42,0.09,0.79,0.81,0,-1.83,-4956,0.51,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
AMEX:SOXL,SOXL,35.57,71007635,35.07,99.02,96.68,0.85,34.6,54.27,52.32,89.63,25366030.27,-6.01,-5.71,0.77,1.78,0.98,0,-1.69,1654318,0.51,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
AMEX:SDOW,SDOW,15.68,5657609,15.74,10.26,7.61,-1.32,15.83,17.23,48.49,2.6,1654620.33,0.0,0.06,-0.32,-0.47,0.52,0,-1.32,40168,0.24,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
AMEX:UWM,UWM,38.22,378825,38.04,98.42,94.43,-0.55,38.11,47.09,49.03,93.78,53862.0,-0.14,-0.68,0.08,0.47,0.41,0,-1.23,7304,0.19,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
AMEX:NVDX,NVDX,14.15,6156682,14.0,98.74,95.62,3.06,13.75,16.87,56.26,85.63,534865.68,-1.16,-0.93,0.6,0.75,0.97,0,-1.12,175557,0.56,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
NASDAQ:NVDL,NVDL,58.28,20314237,57.66,99.06,95.5,3.02,56.54,69.5,55.57,84.97,6546598.42,-4.82,-3.88,2.47,3.09,1.02,0,-1.02,287119,0.61,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
AMEX:SPXS,SPXS,7.87,16882036,7.91,4.72,4.05,-0.95,7.96,9.09,47.03,3.08,1901195.25,0.15,0.12,-0.14,-0.24,0.6,0,-0.63,958518,0.25,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
AMEX:SPXU,SPXU,28.88,3153024,29.02,4.29,3.71,-0.96,29.19,33.36,47.36,5.71,653029.56,0.54,0.44,-0.5,-0.85,0.47,0,-0.58,185348,0.23,delayed_streaming_900,2,etf_leverage,08-14-2024-11-58
