"ticker","name","close","volume","EMA10|5","Stoch.K|5","Stoch.D|5","ROC|15","VWAP|5","BB.upper","UO","RSI3[1]|5","Value.Traded|5","MACD.signal","MACD.macd","Mom|30","Mom_14|30","relative_volume_intraday|5","Rec.Stoch.RSI|15","change_from_open","volume_change_abs|15","relative_volume_10d_calc","update_mode|5","indicators_bars_count|5","brokername","date"
"AMEX:BITX","BITX","32.18","7137775","32.26","12.5","13.93","-2.3","33.43","41.52","42.43","26.92","3519910.6","-0.34","-0.41","-0.53","-0.78","1.01","0","-6.97","201900","1.05","delayed_streaming_900","2","etf_leverage","08-02-2024-19-31"
"AMEX:BOIL","BOIL","8.76","16416021","8.76","40.33","36.35","2.58","8.72","13.38","38.58","35.47","1789939.56","-1.75","-1.72","-0.23","-0.04","1.28","0","-3.74","290516","1.21","delayed_streaming_900","2","premarket_losers_marketchameleon_news","08-02-2024-19-31"
"AMEX:DRIP","DRIP","11.18","3352068","11.19","57.41","70.37","-0.98","11.06","10.58","62.37","39.65","501622.36","0.07","0.18","0.06","0.98","1.6","0","7.09","45592","1.64","delayed_streaming_900","2","turttle_email","08-02-2024-19-13"
"AMEX:DUST","DUST","6.62","14494019","6.64","29.08","36.49","-0.49","6.54","6.87","53.73","34.04","478886.14","-0.26","-0.18","0.05","0.3","1.22","0","7.6","181057","1.17","delayed_streaming_900","2","etf_leverage","08-02-2024-16-01"
"AMEX:EWJ","EWJ","64.65","13888677","64.56","67.7","54.41","0.54","64.5","73.11","39.63","69.41","58679596.6","0.11","-0.38","0.67","-2.89","2.81","0","-0.72","650015","2.66","delayed_streaming_900","2","turttle_email","08-02-2024-19-31"
"AMEX:FAZ","FAZ","9.98","8672055","10.02","41.15","50.05","-0.85","9.94","10.36","60.51","46.81","3035934.79","-0.32","-0.25","-0.04","0.61","2.0","0","3.74","309344","2.02","delayed_streaming_900","2","etf_leverage","08-02-2024-19-31"
"AMEX:FXY","FXY","63.1","616792","63.08","71.9","70.08","0.19","62.93","62.38","76.44","72.33","930851.2","0.51","0.92","0.07","1.3","2.96","0","0.81","14263","2.85","delayed_streaming_900","2","turttle_email","08-02-2024-19-13"
"AMEX:KOLD","KOLD","79.44","799660","79.44","74.55","64.24","-3.36","79.57","81.03","58.87","63.92","9850.56","5.55","6.21","1.92","0.31","0.91","0","4.35","10394","0.92","delayed_streaming_900","2","turttle_email","08-02-2024-15-58"
"AMEX:LABD","LABD","6.44","23993306","6.49","13.06","11.48","-1.83","6.58","6.94","61.32","12.18","1769286.96","-0.42","-0.32","-0.27","0.44","1.27","0","-1.23","536056","1.33","delayed_streaming_900","2","premarket_losers_marketchameleon_news","08-02-2024-19-31"
"AMEX:NVDQ","NVDQ","7.01","24352569","7.13","18.93","25.39","-3.76","7.24","7.65","50.97","48.93","4993012.7","-0.07","0.1","-0.44","0.17","1.63","0","-6.16","564547","1.71","delayed_streaming_900","2","premarket_losers_marketchameleon_news","08-02-2024-19-31"
"AMEX:NVDX","NVDX","12.01","15051047","11.78","80.82","76.38","4.08","11.53","20.4","45.12","45.79","3254343.04","-0.66","-1.11","0.77","-0.26","1.86","0","7.42","310992","1.99","delayed_streaming_900","2","etf_leverage","08-02-2024-19-31"
"AMEX:NVDY","NVDY","24.4","2110080","24.34","80.33","77.88","1.6","24.08","29.87","47.61","65.85","384598.5","-0.81","-1.01","0.61","-0.34","1.22","0","2.13","-10895","1.15","delayed_streaming_900","2","trader_live_email","08-02-2024-16-04"
"AMEX:QID","QID","43.54","16652138","43.67","42.15","57.48","-0.87","43.68","43.81","62.43","42.16","21046669.98","0.25","0.86","-0.59","1.85","1.69","0","0.95","691585","1.73","delayed_streaming_900","2","premarket_losers_marketchameleon_news","08-02-2024-19-31"
