,,,,,,,,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength)
GP,Date,,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
1,2024-10-10,@,Nashville Predators,4,3,W,,,20,12,1,4,0,,36,8,1,6,0,,38,47,44.7,25,38,39.7,10,28,26.3,39.2,108.1
2,2024-10-12,,New York Islanders,3,0,W,,,27,2,0,2,0,,34,4,0,1,0,,41,63,39.4,28,49,36.4,24,25,49.0,55.6,112.5
3,2024-10-13,,Seattle Kraken,2,0,W,,,23,10,0,3,0,,25,8,0,4,0,,41,50,45.1,28,38,42.4,22,18,55.0,41.6,110.0
4,2024-10-15,,San Jose Sharks,3,2,W,SO,,38,6,0,4,0,,27,8,0,3,0,,67,42,61.5,51,32,61.4,25,17,59.5,62.5,97.2
5,2024-10-17,@,Washington Capitals,2,3,L,,,24,10,0,4,1,,26,8,0,5,0,,52,33,61.2,28,26,51.9,29,16,64.4,60.6,89.8
6,2024-10-19,,Edmonton Oilers,4,1,W,,,24,4,1,1,0,,31,2,0,2,0,,51,62,45.1,37,44,45.7,21,33,38.9,40.5,109.3
7,2024-10-22,@,Buffalo Sabres,2,4,L,,,30,2,0,3,0,,25,6,0,1,0,,69,48,59.0,40,33,54.8,26,16,61.9,50.0,88.7
8,2024-10-24,@,Boston Bruins,5,2,W,,,32,8,3,5,0,,27,10,1,4,0,,40,44,47.6,27,36,42.9,18,22,45.0,53.9,104.3
9,2024-10-26,,Chicago Blackhawks,4,2,W,,,30,6,1,3,0,,24,6,0,3,0,,54,46,54.0,35,33,51.5,18,25,41.9,44.5,103.0
10,2024-11-01,,Florida Panthers,4,6,L,,,36,6,0,3,0,,28,8,1,2,1,,51,47,52.0,39,30,56.5,27,27,50.0,50.0,98.1
11,2024-11-02,@,Florida Panthers,2,4,L,,,25,15,1,4,0,,25,15,1,4,0,,46,28,62.2,30,22,57.7,20,20,50.0,56.2,85.3
12,2024-11-07,,Chicago Blackhawks,3,1,W,,,40,6,0,3,0,,26,6,1,3,0,,69,39,63.9,46,29,61.3,32,15,68.1,61.4,108.6
13,2024-11-09,@,Winnipeg Jets,1,4,L,,,33,27,0,4,0,,25,15,2,5,0,,50,34,59.5,38,27,58.5,20,21,48.8,66.2,92.0
14,2024-11-11,@,Pittsburgh Penguins,7,1,W,,,40,2,2,4,0,,21,8,0,1,0,,46,37,55.4,35,29,54.7,20,20,50.0,50.0,113.1
15,2024-11-14,,Boston Bruins,7,2,W,,,38,9,0,2,0,,25,19,0,2,0,,52,43,54.7,43,34,55.8,22,34,39.3,56.8,110.5
16,2024-11-16,@,Minnesota Wild,2,1,W,,,40,14,0,1,0,,23,12,0,2,0,,64,55,53.8,49,39,55.7,30,22,57.7,66.7,100.4
17,2024-11-18,,Anaheim Ducks,2,4,L,,,36,4,0,2,0,,27,4,1,2,0,,79,45,63.7,54,34,61.4,41,22,65.1,64.8,94.3
18,2024-11-20,,San Jose Sharks,5,2,W,,,31,6,0,4,0,,23,8,0,3,1,,48,38,55.8,32,24,57.1,26,20,56.5,50.0,117.6
19,2024-11-23,@,Tampa Bay Lightning,4,2,W,,,28,6,1,3,0,,29,6,0,3,0,,41,46,47.1,34,32,51.5,25,29,46.3,42.4,104.8
20,2024-11-25,@,Carolina Hurricanes,4,6,L,,,19,4,0,3,0,,34,6,2,2,1,,35,51,40.7,27,41,39.7,24,37,39.3,47.5,114.7
21,2024-11-27,@,Chicago Blackhawks,2,6,L,,,27,4,1,4,0,,26,8,1,2,0,,63,37,63.0,37,29,56.1,26,14,65.0,68.2,81.8
22,2024-11-29,,Colorado Avalanche,5,3,W,,,24,10,2,4,0,,32,8,1,5,0,,42,47,47.2,26,35,42.6,33,25,56.9,31.4,109.6
23,2024-12-01,,Winnipeg Jets,3,1,W,,,31,4,0,5,0,,27,10,0,2,0,,42,49,46.2,33,37,47.1,19,27,41.3,33.3,110.3
