game_id,team_id,team,opponent,home_away,player_id,sweater_number,name,position,goals,assists,points,plus_minus,pim,hits,power_play_goals,shots_on_goal,faceoff_pct,time_on_ice,blocked_shots,shifts,giveaways,takeaways
2023020696,19,STL,WSH,away,8478874,88,A. Gaudette,C,0,0,0,0,0,2,0,0,0.0,08:59,1,13,0,0
2023020713,19,STL,WSH,home,8478874,88,A. Gaudette,C,0,0,0,0,4,2,0,0,0.0,10:37,0,16,0,1
2024020003,19,STL,SEA,away,8480074,9,A. Texier,C,0,1,1,0,0,0,0,2,0.0,13:03,3,14,0,0
2024020099,19,STL,WPG,home,8480074,9,A. Texier,C,0,0,0,0,0,0,0,0,0.0,12:40,1,15,1,1
2024020110,19,STL,TOR,away,8480074,9,A. Texier,C,1,0,1,2,0,0,0,4,0.0,15:55,0,19,0,0
2024020126,19,STL,MTL,away,8480074,9,A. Texier,C,0,0,0,-2,0,0,0,1,0.0,14:09,0,18,1,1
2024020150,19,STL,OTT,away,8480074,9,A. Texier,C,0,1,1,-1,0,2,0,4,0.0,17:35,0,19,1,0
2024020162,19,STL,PHI,away,8480074,9,A. Texier,C,0,0,0,-1,0,1,0,0,0.0,16:48,0,19,0,1
2024020162,19,STL,PHI,away,8480074,9,A. Texier,C,0,0,0,-1,0,1,0,0,0.0,16:48,0,19,0,1
2024020181,19,STL,TOR,home,8480074,9,A. Texier,C,0,0,0,0,0,1,0,1,0.0,12:44,1,15,0,0
2024020181,19,STL,TOR,home,8480074,9,A. Texier,C,0,0,0,0,0,1,0,1,0.0,12:44,1,15,0,0
2024020199,19,STL,TBL,home,8480074,9,A. Texier,C,0,0,0,-1,0,1,0,1,0.0,13:03,0,16,0,0
2024020199,19,STL,TBL,home,8480074,9,A. Texier,C,0,0,0,-1,0,1,0,1,0.0,13:03,0,16,0,0
2024020215,19,STL,UTA,home,8480074,9,A. Texier,C,0,0,0,-1,0,0,0,1,0.0,13:01,0,17,0,0
2024020248,19,STL,BOS,home,8480074,9,A. Texier,C,0,0,0,-1,0,0,0,0,0.0,09:30,0,13,0,0
2022020033,19,STL,CBJ,home,8480281,13,A. Toropchenko,R,0,0,0,-1,0,5,0,1,0.0,11:33,1,16,0,1
2022020058,19,STL,SEA,away,8480281,13,A. Toropchenko,R,0,0,0,0,0,1,0,1,0.0,11:20,0,11,0,0
