"ticker","name","close","volume","EMA10|5","Stoch.K|5","Stoch.D|5","ROC|15","VWAP|5","BB.upper","UO","RSI3[1]|5","Value.Traded|5","MACD.signal","MACD.macd","Mom|30","Mom_14|30","relative_volume_intraday|5","Rec.Stoch.RSI|15","change_from_open","volume_change_abs|15","relative_volume_10d_calc","update_mode|5","indicators_bars_count|5","brokername","date"
"AMEX:BITX","BITX","32.99","8241560","32.88","87.93","86.76","3.74","32.99","41.77","46.64","62.21","2672275.58","-0.32","-0.16","-0.67","-2.65","1.23","0","-4.24","220991","1.26","delayed_streaming_900","2","etf_leverage","08-01-2024-19-31"
"AMEX:BOIL","BOIL","8.82","21881681","8.81","63.38","67.32","-3.34","9.29","13.57","34.66","46.56","3411681.84","-1.76","-1.73","-0.72","-0.62","1.75","0","-12.24","192312","1.72","delayed_streaming_900","2","premarket_losers_marketchameleon_news","08-01-2024-19-31"
"AMEX:DRIP","DRIP","10.12","2771733","10.15","20.11","12.91","-0.64","10.01","10.2","56.27","41.78","185873.24","0.04","0.07","0.12","0.67","1.42","0","6.7","33269","1.42","delayed_streaming_900","2","etf_leverage","08-01-2024-19-31"
"AMEX:DUST","DUST","6.31","14825024","6.33","10.64","8.0","-1.49","6.29","6.88","51.04","19.68","2509416.0","-0.27","-0.22","0.03","0.16","1.16","0","3.61","454848","1.17","delayed_streaming_900","2","etf_leverage","08-01-2024-19-31"
"AMEX:EWJ","EWJ","67.55","9297545","67.49","87.68","85.4","0.55","67.86","72.43","41.53","45.8","47543814.02","0.24","-0.01","-0.5","-3.27","1.97","0","-1.56","778009","1.81","delayed_streaming_900","2","turttle_email","08-01-2024-19-31"
"AMEX:FAZ","FAZ","9.36","4703029","9.36","68.37","74.6","0.89","9.17","10.44","59.02","48.48","937015.72","-0.33","-0.33","0.33","0.65","1.3","-1","6.35","-28523","1.11","delayed_streaming_900","2","etf_leverage","08-01-2024-15-40"
"AMEX:FXY","FXY","61.73","241217","61.76","6.94","10.14","-0.04","61.64","61.68","69.02","4.51","431210.85","0.41","0.73","0.19","0.02","1.19","0","0.47","9540","1.19","delayed_streaming_900","2","turttle_email","08-01-2024-19-25"
"AMEX:KOLD","KOLD","78.82","1373575","78.88","29.53","26.34","3.13","74.84","79.48","62.35","48.64","641706.48","5.39","5.93","5.66","4.83","1.75","0","13.92","3537","1.65","delayed_streaming_900","2","turttle_email","08-01-2024-19-31"
"AMEX:LABD","LABD","6.03","27018992","6.02","39.64","38.65","-0.7","5.96","7.21","62.83","57.68","1690915.66","-0.45","-0.39","0.09","0.15","1.57","0","2.55","132769","1.54","delayed_streaming_900","2","etf_leverage","08-01-2024-19-31"
"AMEX:NVDQ","NVDQ","6.78","25235637","6.85","17.84","24.6","-1.67","6.33","7.56","56.87","53.99","1691489.17","-0.11","0.07","0.49","0.66","1.85","0","14.9","640621","1.9","delayed_streaming_900","2","premarket_losers_marketchameleon_news","08-01-2024-16-13"
